,crisis_support,desc,org,title,advocacy,women,health_med,homeless_housing,seniors,arts_culture,animals,edu_lit,child_youth,community
20,True,"Duties include, but are not limited to, the following: Work with Young Starr Movement leadership to develop and implement a comprehensive...",YOUNG STARR MOVEMENT INC,"""Outreach""  Coordinator Organizers for action",False,True,False,False,False,False,False,False,False,True
21,True,Service Program for Older People (SPOP) is recruiting facilitators for adult bereavement support groups. This can be a deeply meaningful...,"Service Program for Older People, Inc. (SPOP)",Facilitators for adult bereavement support groups,False,True,False,False,True,False,False,False,False,False
22,True,"Seeds To Flowers, Inc is a non profit at empowers at risk girls in low income communities through education, personal development and...",SEEDS TO FLOWERS INC,"Social Worker for ""at risk"" girls group",False,False,False,False,False,False,False,False,True,True
23,True,"Here at Spread The Purple, Thanksgiving remains a time to help those struggling families prepare for their own holiday traditions with a...",SPREAD THE PURPLE,2020 Thanksgiving Basket Event,False,False,False,False,False,False,False,False,False,False
24,True,"The Elizabeth Coalition to House the Homeless runs a winter shelter program, Operation Warm Heart, every night from December through...",Elizabeth Coalition to House the Homeless,Homeless Shelter Volunteer,True,False,False,True,False,False,False,False,False,False
25,True,Make a difference! Provide emotional support and necessary referrals to YWCA services to Domestic Violence victims at police stations. We...,YWCA Union County,Crisis Response Team Member,True,False,False,False,False,False,False,False,False,True
26,True,WAFAA Women And Family Ascending Association: Welcome Volunteers! Do you want to serve a great organization that interfaces with Senators...,Women and Families Ascending Association (WAFAA),Would You Like to Help Out at an Awesome Fundraiser Where there Will be Senators Present?,False,True,False,False,False,False,False,False,False,False
27,True,About PLEASE SUBMIT YOUR RESUME AND APPLICATION DIRECTLY TO wafaa@wafaaorganization.org AND THEN PLEASE CALL US FROM 973-766-2406 We are...,Women and Families Ascending Association (WAFAA),Internship,True,False,False,False,False,False,False,False,False,True
28,True,VNA Hospice Thrift Shop is fortunate to be serving the community of Montclair for the past 19 years. We are a non-profit shop whose...,VNA HEALTH GROUP OF NEW JERSEY LLC,VNA/Hospice Thrift Shop Boutique - Volunteer Opportunities,False,False,False,False,False,False,False,False,False,True
29,True,"The Elizabeth Coalition to House the Homeless runs many programs that rely on the gracious generosity of donations, whether financial or...",Elizabeth Coalition to House the Homeless,Donation Manager,False,False,False,True,False,False,False,False,False,False
30,True,Each day we need 5 volunteers to provide afternoon hospitality to our Operation Warm Heart homeless guests before they are transported to...,Elizabeth Coalition to House the Homeless,Hospitality Volunteers,False,False,False,True,False,False,False,False,False,False
31,True,Operation Warm Heart is a winter homeless shelter program that runs from 12/1-3/31. Volunteers are needed to help staff the shelter...,Elizabeth Coalition to House the Homeless,Operation Warm Heart Volunteers Needed!,True,False,False,True,False,False,False,False,False,False
32,True,The Elizabeth Coalition to House the Homeless' Hospitality House program is honored to maintain 3 houses that provide working homeless...,Elizabeth Coalition to House the Homeless,Handyman,True,False,False,True,False,False,False,False,False,False
33,True,I'RAISE Offers an exciting and rewarding opportunity to individuals seeking to become a role model and make a positive impact on younger...,I'RAISE Girls & Boys International,Big Brother Big Sister Mentoring Program,False,False,False,False,False,False,False,False,True,True
34,True,Are you a social media/computer whiz and interested in area of mental health? The Mental Health Association in Passaic County is seeking...,Mental Health Association in Passaic County,Social Media Mental Health Specialist,False,False,True,False,False,False,False,False,False,True
35,True,Join our team of caring and awesome volunteers who work to protect and save hundreds of animals per year. You must be at least 21 years...,Ruff House Rescue,ASPCA Volunteer Page Coordinator,False,False,False,False,False,False,True,False,False,True
36,True,This position is responsible for tasks assigned by the specific Disaster Workforce Engagement Team program lead: Support the annual...,American Red Cross - Greater New York Region,Disaster Workforce Engagement Support Volunteers needed in Long Island,False,False,False,False,False,False,False,False,False,False
37,True,"Are you looking for a flexible, rewarding volunteer opportunity ? Have you ever been told you are a good listener ? Do you have a...",Caring Contact,Become a Caring and Crisis Hotline Listener,False,False,True,False,False,False,False,False,True,False
38,True,"Under the direction of the Community Health Worker, this candidate with assist with connecting childbearing age women (ages 15-44) with...","NEW DESTINY FAMILY SUCCESS CENTERS, INC",Community Health Worker Intern/Volunteers,False,True,False,False,False,False,False,False,False,True
39,True,"There is an ongoing need for Confidential Sexual Violence Advocates (CSVAs) to respond to the center's 24-hour hotline, which may involve...",Union County Rape Crisis Center,Confidential Sexual Violence Advocates - 2020 Volunteer Training,True,True,False,False,False,False,False,False,False,False
40,True,"We are seeking volunteers in Nassau, Queens and Brooklyn who are interested in supporting our hospice families in grieving the loss of a...",MJHS Hospice and Palliative Care,Bereavement Volunteers Wanted,False,False,True,False,True,False,False,False,False,False
41,True,"The S.H.O.P., a social services hub that provides nutritional support, basic necessities, guidance and encouragement to local individuals...",JCC of the Greater Five Towns/The Gural JCC,Clothing Manager,False,False,False,False,False,False,False,False,True,True
42,True,The Emmanuel Cancer Foundation provides over 200 New Jersey families faced with pediatric cancer a place to turn for comfort and support...,Emmanuel Cancer Foundation,Volunteer drivers,False,False,False,False,False,False,False,False,True,False
43,True,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...,Rainbow Hospice and Palliative Care,Chicago area Massage Therapy Hospice Volunteer,False,False,True,False,True,False,False,False,False,False
44,True,"About Imerman Angels: Through our unique matching process, Imerman Angels partners anyone seeking cancer support with a ""Mentor...",Imerman Angels 1-on-1 Cancer Support,Marketing and Hospital Outreach Internship,False,False,True,False,False,False,False,False,False,True
45,True,Purpose: The Volunteer Director is responsible for recruiting and managing volunteers. They will be responsible for allocating...,The Safe Haven Network,Volunteer Director,False,False,False,False,False,False,True,False,False,True
46,True,Purpose: The Community Outreach Director is responsible for coordinating The Safe Haven Network’s community outreach and engagement...,The Safe Haven Network,Community Outreach Director,False,True,False,False,False,False,True,False,False,False
47,True,Purpose: Development Director Volunteer is responsible for spearheading The Safe Haven Network’s fundraising efforts. They will...,The Safe Haven Network,Development Director,False,False,False,False,False,False,True,False,False,True
48,True,Group Mentor for Teen Girl Program/ Youth Coordinator The purpose of IHSF (In Her Shoes Foundation) is to empower and inspire every woman...,In Her Shoes Foundation,Mentor Teen Girls - South Side Chicago,False,False,False,False,False,False,False,True,True,False
49,True,"Volunteer Position: Graphic Design and Web Manager Committee: Marketing Experience: 4+ years of related experience in the Advertising,...",In Her Shoes Foundation,Graphic Design and Web Manager,False,True,False,False,False,False,False,False,True,False
50,True,"About Imerman Angels: Through our unique matching process, Imerman Angels partners anyone seeking cancer support with a ""Mentor...",Imerman Angels 1-on-1 Cancer Support,Outreach Internship,False,False,True,False,False,False,False,False,False,True
51,True,"Imerman Angels provides personalized, 1-on-1 cancer support for cancer fighters, survivors, and caregivers! We are always in need of new,...",Imerman Angels 1-on-1 Cancer Support,Become an Imerman Angels Volunteer!,False,False,True,False,False,False,False,False,False,True
52,True,Purpose: The Safe Haven Network is a referral service that connects individuals escaping domestic violence to temporary emergency shelter...,The Safe Haven Network,Referral Program Director,False,False,False,False,False,False,True,False,False,True
53,True,"Did you know every year 4.2 million youth experience homelessness? Just last year, 1 out of 30 youth ages 13-17 were affected. National...",National Runaway Safeline,Crisis Line Volunteers For National Runaway & Homeless Youth Hotline (1-800-RUNAWAY),False,False,False,False,False,False,False,False,True,False
54,True,"Did you know every year 4.2 million youth experience homelessness? Just last year, 1 out of 30 youth ages 13-17 were affected. National...",National Runaway Safeline,Crisis Line Volunteer,False,False,False,True,False,False,False,False,True,False
55,True,"The Inventory Specialist position provides direct support for ordering, distribution, tracking, and auditing Client Assistance Card stock...",American Red Cross - Chicago and Northern...,Good with Logistics: Inventory Specialist is the opportunity for YOU!,False,False,False,False,False,False,False,False,False,True
56,True,Ensures timely activation and monitoring of local and regional DAT responses. This role supports our Disaster Action Team Members to...,American Red Cross - Chicago and Northern...,Disaster Dispatch Volunteer,False,False,False,False,False,False,False,False,False,True
57,True,Individuals and groups needed to make or cater a warm meal and share conversation with our IMD Guest House guests in our Community Room....,IMD Guest House,Guest House Meal Maker,False,False,True,False,False,False,False,False,False,False
58,True,As a Service to Armed Forces Hero Network Regional Family Follow up Caseworker you will support and assist with the full range of client...,American Red Cross - Chicago and Northern...,"Support military members, veterans and their families: BE A CASEWORKER!",True,False,False,False,False,False,False,False,False,True
59,True,No experience needed. Facilitated discussion in gallery of art about surviving trauma followed by easy art experience re: surviving...,Chicago URBAN ART RETREAT Center,Surviving Trauma discussion & art workshop,True,False,False,False,False,True,False,False,False,False
60,True,"Above and Beyond is looking for LCPC Counselors, either retired or in-between employers, who would like to give of themselves to help the...",Above and Beyond family Recovery Center,LCPC,False,False,True,True,False,False,False,False,False,False
61,True,"Establish and maintain relationships with Police, Fire, Emergency Management, Human Services and Public Health partners. Sit on critical...",American Red Cross - Chicago and Northern...,Disaster Services External & Government Relations Volunteer,False,False,False,False,False,False,False,False,False,True
62,True,"Support the disaster recovery of individuals, families, and communities through the activities of Casework and Recovery Planning,...",American Red Cross - Chicago and Northern...,Disaster Recovery Casework Volunteer,False,False,False,False,False,False,False,False,False,True
63,True,This position is available remote volunteer opportunity with an array of various different tasks. Some tasks may include but are not...,American Red Cross - Chicago and Northern...,Remote Administrative Support & Special Projects Assistant,False,False,False,False,False,False,False,False,False,False
64,True,Are you interested in pipes? Does water float your boat? We are looking for humans with heart ( and the stomach) who are interested in...,Above and Beyond family Recovery Center,Plumber,False,False,False,False,False,False,False,False,False,True
65,True,"In the context of spending your time inside a gorgeously appointed, one-of-a-kind, behavioral, outpatient, harm-reduction addiction...",Above and Beyond family Recovery Center,Prison Pen Pal,False,False,False,False,False,False,False,True,False,False
66,True,"Marillac Food Pantry is not only a well established resource for our community, but serves approximately 1,000 families each month. The...",Marillac Food Pantry,Food Pantry Volunteer,False,False,False,False,False,False,False,False,False,True
67,True,Recruit and retain interested students through engagement efforts for our program by: 1. Develop a supportive and trusting relationship...,POP ON TEEN VIOLENCE INC,ChiPOP Student Engagement Specialist,False,False,False,False,False,False,False,False,True,True
68,True,Volunteer at our Maryville Crisis Nursery on Saturday or Sunday afternoons or evenings. Anytime from 3:00 - 8:00 Assisting children birth...,Maryville Academy,childcare volunteer,False,False,False,False,False,False,False,False,True,False
69,True,"Help one of Chicagos oldest and largest food pantries distribute food to clients, stock shelves, unload deliveries, sort donations, or...",Lakeview Pantry,Lakeview Pantry Volunteer,False,False,False,False,False,False,False,False,False,True
70,True,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family...",Rainbow Hospice and Palliative Care,Albany Park area (Chicago) Home Hospice Patient Support/Companion Volunteer,False,False,True,False,True,False,False,False,False,False
71,True,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family...",Rainbow Hospice and Palliative Care,Jefferson Park area (Chicago) Home Hospice Patient Support/Companion Volunteer,False,False,True,False,True,False,False,False,False,False
72,True,"The house mom would be a live-in presence at The Well of Mercy. She will monitor daily chores, make the cooking and chore monthly...",The Well of Mercy,House Mom,True,True,False,False,False,False,False,False,False,False
73,True,"The WINGS domestic violence Safe House has capacity for up to 45 women and children a night. In addition to shelter, we provide...",WINGS Program,Be a Friend - Become a Safe House Hostess,False,True,False,True,False,False,False,False,False,False
74,True,"Title : Kid’s Group Assistant Location: WINGS Domestic Violence Safe House, which is in an undisclosed location in the South...",WINGS Program,Safe House Kids Group Assistant - Chicago Metro,False,False,False,True,False,False,False,False,False,False
75,True,Description: - Ensure the safety of the Safe House by allowing only appropriate people to enter the Safe House. Lobby volunteer utilizes...,WINGS Program,Safe House Lobby Volunteer - Chicago Metro,False,False,False,True,False,False,False,False,False,False
76,True,DINNER TEAM: (Minimum of 4 people) Housing Forward is looking for teams of a minimum of 4 individuals to prepare dinner for shelter...,Housing Forward,Dinner Provider Team,False,False,False,False,False,False,False,False,False,True
77,True,"We are looking for volunteers to offer a supportive presence, socialization and to assist with out Legacy Program; creating legacy...",Seasons Hospice and Palliative Care- Illinois,Valued Volunteers Needed: Inpatient Center Volunteers: MacNeal Hospital,False,False,True,False,False,False,False,False,False,False
78,True,"We are looking for volunteers to offer a supportive presence, socialization and to assist in our Legacy Program by creating legacy...",Seasons Hospice and Palliative Care- Illinois,Valued Volunteers Needed: Inpatient Center: Holy Cross Hospital,False,False,True,False,False,False,False,False,False,True
79,True,Organization History and Model Cradles to Crayons (C2C) was launched in 2002 by Lynn Margherio with the mission to provide children from...,Cradles to Crayons,Volunteers Needed to Help Lead Volunteer Shifts!,False,False,False,False,False,False,False,False,True,True
80,True,"The primary criteria for recruiting these parent leaders will be their passion, desire, and enthusiasm for making positive changes in...",AWOFINC,Parent Leader - Chicago 5th Ward,True,False,False,False,False,False,False,False,False,True
81,True,"Community Outreach Coordinator responsibilities: Identify contacts, and perform direct/ongoing outreach efforts with community...",AWOFINC,Community Outreach Coordinator - Violence Prevention Consortium,False,False,False,False,False,False,False,False,False,True
82,True,"Community Outreach Coordinator responsibilities: Identify contacts, and perform direct/ongoing outreach efforts with community...",AWOFINC,Community Outreach Coordinator - Youth Leadership & Development,False,False,False,False,False,False,False,False,True,True
83,True,"Parent Leaders are ambassadors in the community, by offering other parents information about proven ""parenting techniques""...",AWOFINC,Parent Leader - Chicago Metro South,False,False,False,False,False,False,False,False,True,True
84,True,"Parent Leaders are ambassadors in the community, by offering other parents information about proven ""parenting techniques""...",AWOFINC,Parent Leader - Northshore,False,False,False,False,False,False,False,False,True,True
85,True,Community Outreach Coordinator should be interested in pursuing a career in social service nonprofit work. Coordinator responsibilities:...,AWOFINC,Community Outreach Coordinator - Parent Information & Resource Center,True,False,False,False,False,False,False,False,False,True
86,True,"Volunteer for Street Engagement Team: Engage at risk young people on the streets, parks, spiritual meeting places, and common areas in...",AWOFINC,Violence Prevention Volunteer - Chicago Metro South,False,False,False,False,False,False,False,False,True,True
87,True,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...,Rainbow Hospice and Palliative Care,Evanston area Massage Therapy Hospice Volunteer,False,False,True,False,True,False,False,False,False,False
88,True,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...,Rainbow Hospice and Palliative Care,Park Ridge area Massage Therapy Hospice Volunteer,False,False,True,False,True,False,False,False,False,False
89,True,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...,Rainbow Hospice and Palliative Care,Niles area Massage Therapy Hospice Volunteer,False,False,True,False,True,False,False,False,False,False
90,True,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...,Rainbow Hospice and Palliative Care,Skokie area Massage Therapist Hospice Volunteer,False,False,True,False,True,False,False,False,False,False
91,True,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family...",Rainbow Hospice and Palliative Care,Park Ridge area Home Hospice Patient Support/Companion Volunteer,False,False,True,False,True,False,False,False,False,False
92,True,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family...",Rainbow Hospice and Palliative Care,Skokie area Home Hospice Patient Support/Companion Volunteer,False,False,False,False,True,False,False,False,False,True
93,True,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family...",Rainbow Hospice and Palliative Care,Evanston area Home Hospice Patient Support/Companion Volunteer,False,False,True,False,False,False,False,False,False,False
94,True,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family...",Rainbow Hospice and Palliative Care,Franklin Park area Home Hospice Patient Support/Companion Volunteer,False,False,True,False,True,False,False,False,False,False
95,True,"Volunteer at the Howard Area Community Center Food Pantry! The volunteer-run pantry served 24,000 packages of food last year to those...",Howard Area Community Center,Food Pantry Volunteer,False,False,False,False,False,False,False,False,False,True
96,True,Model Christian living and teach Biblically-based perspectives to young men and fathers. H as a personal and growing relationship with...,SOUTHSIDE PREGNANCY CENTER,Male Mentor,False,False,False,False,False,False,False,False,False,True
97,True,"Are you seeking a volunteer position that is richly fulfilling and rewarding? For many of our volunteer opportunities, we request that...",SOUTHSIDE PREGNANCY CENTER,SPC Volunteer,True,False,False,False,False,False,False,False,False,True
98,True,"Advocate for patients in unplanned pregnancy situations. H as a personal and growing relationship with Jesus Christ. Good listener, given...",SOUTHSIDE PREGNANCY CENTER,Patient Advocate,False,False,False,False,False,False,False,False,False,False
99,True,The case aide assists program clients with basic needs in the day-time Support Center and provides support to the program’s case...,Housing Forward,Case Aide - Benefits Coordination (AmeriCorps),False,False,False,True,False,False,False,False,False,False
100,True,Kindred Hospice is seeking volunteers to provide companionship and support to patients with life-limiting illnesses and their families in...,Kindred Hospice,Caring Volunteers Needed for Friendship and Patient Support,False,False,True,False,True,False,False,False,False,False
101,True,Have you been trained as an End-of-Life Doula but don't have the opportunity to use those skills regularly? Are you passionate about this...,Kindred Hospice,Are you an End-of-Life Doula looking for opportunities to make a difference?,False,False,True,False,True,False,False,False,False,False
102,True,Kindred Hospice is seeking volunteers to provide companionship and support to patients with life-limiting illnesses and their families in...,Kindred Hospice,Patient Support Volunteer & Friend,False,False,True,False,True,False,False,False,False,False
103,True,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...,Rainbow Hospice and Palliative Care,Villa Park area Massage Therapy Hospice Volunteer,False,False,True,False,True,False,False,False,False,False
104,True,"Help near your home! As a Home Patient Support Volunteer, you will be assigned to support a hospice patient and their family in your...",Rainbow Hospice and Palliative Care,Addison area Patient Support Home Hospice Volunteer,False,False,True,False,True,False,False,False,False,False
105,True,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...,Rainbow Hospice and Palliative Care,Addison area Massage Therapy Hospice Volunteer,False,False,True,False,True,False,False,False,False,False
106,True,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...,Rainbow Hospice and Palliative Care,Elmhurst area Massage Therapy Hospice Volunteer,False,False,True,False,True,False,False,False,False,False
107,True,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...,Rainbow Hospice and Palliative Care,Glenview area Massage Therapy Hospice Volunteer,False,False,True,False,True,False,False,False,False,False
108,True,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family...",Rainbow Hospice and Palliative Care,Elmhurst area Home Hospice Patient Support/Companion Volunteer,False,False,False,False,True,False,False,False,False,True
109,True,"Pick up donations from a selected grocery store, business, or restaurant each week and deliver the items to our Westmont Food Pantry....",People's Resource Center,Transport Local Food Donations to our Food Pantry! (Westmont),False,False,False,False,False,False,False,False,False,True
110,True,"Do you LOVE shopping for clothing, accessories, shoes, books, household items? Put that knowledge to a great cause by joining our team at...",WINGS Program,Niles Resale Store,False,True,False,True,False,False,False,False,False,False
111,True,"Volunteers are needed to sort and prepare donations for resale, operate cash register and provided customer service. You must be able to...",Crisis Center for South Suburbia,Resale Store Volunteers Worth,False,True,False,True,False,False,False,False,False,False
112,True,Balance for Success Group is the first and third Tuesday of each month from 7-8:30pm at Winnetka Congregational Church in Winnetka. There...,NAMI COOK COUNTY NORTH SUBURBAN,WANTED: An individual living with mental illness looking to make a difference for...,False,False,True,False,False,False,False,False,False,False
113,True,We Honor Veterans: The veteran to veteran relationship is so unique it is sometimes the only experience in which a veteran will open up...,Seasons Hospice and Palliative Care- Illinois,Volunteer for our Veterans: We need YOU!,False,False,False,False,True,False,False,False,False,False
114,True,Bereavement Phone Callers needed!! Seasons Hospice and Palliative Care is looking for individuals who like to share and talk on the phone...,Seasons Hospice and Palliative Care- Illinois,Compassionate Listener: Become a bereavement caller.,False,False,False,False,False,False,False,False,False,True
115,True,Do you love to sew? Are you creative? Seasons Hospice and Palliative Care is looking for individuals or groups of people who can share...,Seasons Hospice and Palliative Care- Illinois,Creative Sewing Volunteers Needed: Sewing Team Member,False,False,False,False,False,True,False,False,False,True
116,True,Seasons Hospice and Palliative Care is looking for caring volunteers who would like to make a difference in the lives of people facing...,Seasons Hospice and Palliative Care- Illinois,No One Should Die Alone: Vigil Volunteers Needed,False,False,True,False,False,False,False,False,False,False
117,True,Are you a good listener? Are you looking to serve your community with purpose? Become a Heartland Volunteer! Our Volunteers are the heart...,Heartland Hospice,"Companion Visitor - Aurora, Batavia, Geneva  and St. Charles area",False,False,True,False,True,False,False,False,False,False
118,True,Gala Volunteer Event Planner Duties: 1. Attend all committee meetings and phone calls as needed. 2. Keep a file of all pertinent...,In Her Shoes Foundation,Event Planner for Annual Gala in October,False,True,False,False,False,False,False,False,True,False
119,True,"The primary criteria for recruiting these parent leaders will be their passion, desire, and enthusiasm for making positive changes in...",AWOFINC,"Parent Leader - Harvey, IL",True,False,False,False,False,False,False,False,False,True
120,True,Make a difference in the lives of sexual assault survivors! Board members make important decisions about the agency's services. Board...,Northwest Center Against Sexual Assault,Board Member,False,True,False,False,False,False,False,False,True,False
121,True,"Professional Bereavement Volunteer: If you are working towards or have a professional social work or health related degree, professional...",Rainbow Hospice and Palliative Care,Bereavement Support Volunteer,False,False,True,False,True,False,False,False,False,False
122,True,Ensure the safety of the Safe House by allowing only appropriate people to enter the Safe House. Lobby volunteer utilizes the intercom...,WINGS Program,Lobby Volunteer at our Domestic Violence Safe House,False,True,False,True,False,False,False,False,False,False
123,True,"The Suburban Latina Outreach is a new program offered by WINGS Program Inc., seeking to address the unique needs of the often underserved...",WINGS Program,Help Suburban Latinas flee from abuse by being a Level 2 Mentor,False,True,False,True,False,False,False,False,False,False
124,False,"Starting January 1, 2020 16 & 17 year olds can pre-register to vote. NYC Votes is hosting interactive pre-registration and civic...",New York Campaign Finance Board NYC Votes,NYC Votes Pre-Registration Campaign,True,False,False,False,False,False,False,False,True,False
125,False,We are in need of a volunteer photographer to assist in taking pictures of important events for CASA-NYC. CASA-NYC is a non-profit...,Court Appointed Special Advocates - NYC,Photographer Needed!! Help Capture an Important Event for a Non-Profit,True,False,False,False,False,False,False,False,True,True
126,False,"Join AsylumConnect’s new Junior Board of young professionals (ages 21 to 40). Members will help support and promote our mission,...",AsylumConnect,Junior Board Member (NYC),True,False,False,False,False,False,False,False,False,False
127,False,EXPONENTS is a nonprofit organization located in the heart of New York City compassionately dedicated to serving those impacted by...,Exponents,Volunteer Administrative Assistant- Summer 2019,True,False,True,False,False,False,False,False,False,True
128,False,"Internship Benefits $10 Lunch Stipend per day Gain invaluable working experience in a passionate, exciting, mission-driven organization...",NEW YORK SOCIETY FOR THE PREVENTION OF CRUELTY...,Development and Communications Internship,True,False,False,False,False,False,False,False,True,False
129,False,DESCRIPTION CASA-NYC is a non-profit organization whose mission is to ensure that children in foster care have their needs met and their...,Court Appointed Special Advocates - NYC,Part-time Volunteer Administrative Assistant (unpaid),True,False,False,False,False,False,False,False,True,True
130,False,"Court Appointed Special Advocates (CASA) is a volunteer-based, non-profit organization working to ensure that children in foster care...",Court Appointed Special Advocates - NYC,Advocate for Foster Care Children and Youth (5 Boroughs in NYC),True,False,False,False,False,False,False,False,True,False
131,False,"ESOL school for immigrants and refugees, educating since 1997, is looking for a qualified and efficient administrator. The most important...",Institute for Immigrant Concerns,Korean Speaking Program Assistant,True,False,False,False,False,False,False,False,False,True
132,False,"On Friday, December 6th, Care For the Homeless will be facilitating a ""Winter Accessory"" kit packing event here at our Central...",Care For the Homeless,Volunteers Needed: Winter Accessory Kit Packing,True,False,False,True,False,False,False,False,True,False
133,False,Homeless Persons’ Memorial Day (HPMD) is a national day of commemoration for anyone who passed away while experiencing homelessness...,Care For the Homeless,Homeless Persons' Memorial Day with Care For the Homeless,True,False,False,True,False,False,False,False,False,False
