title,org,desc
Weekday/Daytime Homeless Drop-In Center Associate,Garden State Episcopal CDC,HOMELESS DROP-IN PROGRAM ASSOCIATE GSECDC (Garden State Episcopal Community Development Corporation) is seeking a Program Associate...
Homeless Services Program Morning Associate,Garden State Episcopal CDC,"At our Hudson CASA Coordinated Entry Program and Drop-In Center, serving the Homeless of Hudson County, we need assistance weekdays,..."
Beauticians Wanted! Give Lantern Residents Beauty Treatments,Lantern Community Services,Lantern Community Services is a social services organization that provides services to people who are formerly homeless or have recently...
Make a Difference! Volunteer to Support the Homeless,Changing The Present,"Intern or Volunteer with ChangingThePresent.org to Support the Homeless and Make a Difference in Their Lives! Use your skills,..."
"Let me crash on your couch... please? - New York, NY",ARFS GERMAN SHEPHERD INC,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation.Shelters do not...
Help Lantern Community Services with Administrative Work at Midtown Location,Lantern Community Services,Lantern Community Services is a homeless services non-profit that helps people who are formerly homeless or have recently aged out of...
Graphic Design Volunteer at Lantern Community Services!,Lantern Community Services,Lantern Community Services is a supportive housing non-profit that helps people who are formerly homeless or have recently aged out of...
Help Lantern Residents with Financial Planning,Lantern Community Services,Lantern Community Services provides innovative services to help New Yorkers who are formerly homeless or have recently aged out of foster...
Help with Lantern's Cooking Class in Bed-Stuy!,Lantern Community Services,Lantern Community Services is a social services organization that provides services to people who are formerly homeless or have recently...
Help with Lantern's Fresh Food Box Program in Bed-Stuy!,Lantern Community Services,Do you care about hunger and getting people the fresh food they need? Do you want to give back to vulnerable New Yorkers? Then this is...
Help with Lantern's Fresh Food Box Program!,Lantern Community Services,Do you care about hunger and getting people the fresh food they need? Do you want to give back to vulnerable New Yorkers? Then this is...
Help save a child.  Board Members wanted in NYC...,Gift of Adoption Fund,Gift of Adoption is seeking board members for its Board in the state of New York. Chapter meetings and events will be held in New York...
IVC seeks Active Seniors in New York,Ignatian Volunteer Corps,The Ignatian Volunteer Corps (IVC) exists to address the greatest social needs of New York City Metro area with the experience and skills...
Midtown Morning Runner or Walker,Back on My Feet NYC,"Go the extra mile with Back on My Feet NYC! Dedicated teams of volunteers run, walk, or jog 2-4 miles with our members who are..."
Laundry Room Attendant,Services for the UnderServed,Please help us extend the hours that the laundry room is available to the shelter residents. The volunteer will help the shelter...
East Village Morning Runner Walker,Back on My Feet NYC,"Go the extra mile with Back on My Feet NYC! Dedicated teams of volunteers run, walk, or jog 2-4 miles with our members who are..."
Brooklyn Morning Walkers and Runners Needed!,Back on My Feet NYC,"Go the extra mile with Back on My Feet NYC! Dedicated teams of volunteers run, walk, or jog 2-4 miles with our members who are..."
"Bring Your Crafting, Crocheting, Knitting or Painting Skills to BRC!","Bowery Residents' Committee, Inc.","This 103-bed women’s shelter in Bed-Stuy, Brooklyn serves a population suffering from multiple issues including mental illness,..."
"Host a Weekly ""Smoothie Group""!","Bowery Residents' Committee, Inc.","Located on the Lower East Side on Pitt Street, Los Vecinos Apartments is a co-ed 35 room permanent housing facility for formerly homeless..."
"Help Serve Breakfast, Lunch or Dinner!","Bowery Residents' Committee, Inc.","BRC is a leading provider of housing and services to thousands of New York City's neediest individuals. Offering a hand up, not a hand..."
Work alongside our great staff at BRC!,"Bowery Residents' Committee, Inc.","Volunteers are needed to assist in various administrative assistant capacities from taking inventory, filing, document shredding,..."
Calling All Crafters and Artistic Folks!,"Bowery Residents' Committee, Inc.","Located on the Lower East Side on Pitt Street, Los Vecinos Apartments is a co-ed 35 room permanent housing facility for formerly homeless..."
"Play a game, teach a skill, have a great time and still do some good!","Bowery Residents' Committee, Inc.",Are you exceptionally outgoing and friendly? Are you able to jump right in and engage folks in conversation? Do you have a hobby or...
Restore Hope Outreach Coordinator,RESTORE HOPE INC,"As an Outreach Coordinator with Restore Hope, you will be on the front lines of ministry, leading volunteer teams at outreach events,..."
Volunteer in our Soup Kitchen,Grand Central Neighborhood Social Services...,"Volunteers are a key component to the continued success of GCNSSC. By working within the agency, both groups and individuals can..."
Administrative Assistant/Office Admin. Help Needed!,Episcopal Charities,"We are a food pantry, community kitchen, and overnight shelter in Midtown Manhattan looking for administrative help weekdays from 9-5!..."
Hunger Projects with New York Cares in Brooklyn,New York Cares,"Volunteers on New York Cares' Hunger projects do more than simply serve a meal - they provide a warm smile, friendly conversation, and..."
Hunger Projects with New York Cares,New York Cares,"Volunteers on New York Cares' Hunger projects do more than simply serve a meal - they provide a warm smile, friendly conversation, and..."
Farm 2 Food Bank with GrowNYC Greenmarkets - Union Square,Food Bank For New York City,GrowNYC is the sustainability resource for New Yorkers: providing free tools and services anyone can use in order to improve our City and...
Farm 2 Food Bank with GrowNYC Greenmarkets - Dag Hammarskjold Plaza,Food Bank For New York City,GrowNYC is the sustainability resource for New Yorkers: providing free tools and services anyone can use in order to improve our City and...
Affordable Housing Counselor and Organizer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Do you want to volunteer for an organization working to make Southwest Brooklyn a great place for people of...
Knitting Group Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Do you enjoy knitting and/or are you generally crafty? Or perhaps you just want a good excuse to get out of...
NORC Community Assistant - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Support this East Village group’s affordable housing- and diversity-minded mission by helping secure...
Community Program Design and Outreach Assistant - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Do you want to volunteer for an organization working to make Southwest Brooklyn a great place for people of...
Community Organizer for Immigrant Workers - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Do you want to volunteer for an organization working to make Southwest Brooklyn a great place for people of...
Give Massages to Lantern Residents!,Lantern Community Services,Lantern Community Services is a homeless services non-profit that helps people who are formerly homeless or have recently aged out of...
Marketplace in Jersey City,Jersey Cares,Marketplace in Jersey City is a project dedicated to battling hunger and poverty in our community through an emergency food pantry. This...
"Let me crash on your couch...please? - New York, NY",LAURAS HOPE RESCUE,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation. Shelters do...
Meal Prep & Service,Services for the UnderServed,Assist with meal prep and service for the 340 individuals residing at the Harmonia shelter. The tasks may include chopping vegetables and...
Hairstylist/Cutter at GMHC,Gay Men's Health Crisis,"GMHC is a not-for-profit, data-driven, volunteer-supported, and community-based organization committed to national leadership in the..."
Hunger Helpers in Hoboken,Jersey Cares,"Providing shelter to 50 people nightly and serving 300 meals daily, volunteers play an integral role in making the Hoboken Shelter..."
Holiday Ornament Project with Homeless Individuals,Center for Urban Community Services,Create holiday snow globes and wreathes with the individuals in our West Harlem Safe Haven!
Put Together Holiday Kits For Homeless Individuals,Center for Urban Community Services,"Help us put together 100 holiday kits for individuals in our shelters and safe havens Kits include backpack, socks and much needed..."
3rd Annual Princess Pageant,PRINCESS JANAE PLACE INC,"We will need a variety of people capable to multi-tasking during our Princess Pageant. We need people to aid in ushering, serving, and..."
Advocacy Role,The Borgen Project,This is a great entry-level volunteer position for someone looking to be part of The Borgen Project. Advocates can operate from anywhere...
URGENT!  Volunteer Advocate Needed for our Advocacy/Emergency Services Program,LSA Family Health Service,"We need an Advocate for our Advocacy/Emergency Services program. Position requires a commitment for at least two full days, between..."
"BOOKED TO CAPACITY:  Volunteers Needed to Serve this Thanksgiving in East New York,...","Bowery Residents' Committee, Inc.","WITH SINCERE THANKS TO THE GREATER NEW YORK CITY COMMUNITY, ALL AVAILABLE POSITIONS ARE NOW BOOKED AND ALL PROGRAMS ARE AT CAPACITY FOR..."
BOOKED TO CAPACITY:  Help Serve PRE-Thanksgiving Meal to Those in Need on the Far Upper...,"Bowery Residents' Committee, Inc.","WITH SINCERE THANKS TO THE GREATER NEW YORK CITY COMMUNITY, ALL AVAILABLE POSITIONS ARE NOW BOOKED AND ALL PROGRAMS ARE AT CAPACITY FOR..."
Volunteer Event DJs Needed for Dare2B Kids Thanksgiving Celebration,Dare2B,Dare2B is excited to welcome new and long-term volunteers this holiday season. Together we will serve a gourmet meal and funfilled...
Serve Meals to Hungry New Yorkers in Harlem!,Episcopal Charities,"Serve families in need nutritious hot meals in Harlem at St. Mary's Church! Volunteers of all ages are welcome, and groups of any size..."
Help with Lantern's Fresh Food Box Program on the Upper West Side!,Lantern Community Services,Do you care about getting people the fresh food they need? Do you want to give back to vulnerable New Yorkers? Then this is the...
Political Affairs Internship,The Borgen Project,"The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. This is a..."
Harlem - Winter Program - Kids Activity Coordinators,Dare2B,Dare2BNYC is currently recruiting volunteers interested in making a meaningful impact in NYC. We are seeking candidates that can work at...
JASA Legal Services for the Elderly in Queens Needs Volunteer File Clerks!,JASA,Purpose Volunteers are needed to help JASA’s Legal Department stay organized by assisting with clerical tasks. Responsibilities...
Help with Lantern's Fresh Food Box Program in East Harlem!,Lantern Community Services,Do you care about hunger and getting people the fresh food they need? Do you want to give back to vulnerable New Yorkers? Then this is...
Help Lantern Community Services with Administrative Work on the Upper West Side,Lantern Community Services,Lantern Community Services is a homeless services non-profit that helps people who are formerly homeless or have recently aged out of...
Help Lantern Community Services with Administrative Work,Lantern Community Services,Lantern Community Services is a homeless services non-profit that helps people who are formerly homeless or have recently aged out of...
Help with Lantern's Fresh Food Box Program on the Upper West Side!,Lantern Community Services,Do you care about hunger and getting people the fresh food they need? Do you want to give back to vulnerable New Yorkers? Then this is...
Give Haircuts to Lantern Residents!,Lantern Community Services,"Lantern is home to more than 1,400 formerly homeless people who live in our 15 apartment buildings across New York City. We pioneered..."
Overnight Volunteer,Ansche Chesed Homeless Shelter,Staff the Ansche Chesed shelter from 9:00pm to 6:30am. Volunteer sleeps in a separate room with phone and private bathroom. Guests are...
Brooklyn birthday enthusiasts needed!!,The Birthday Party Project,Come spread JOY with The Birthday Party Project!! We host MAGICAL birthday parties for the children living at the Bushwick Family...
West Harlem Joggers and Walkers Needed!,Back on My Feet NYC,"Go the extra mile with Back on My Feet NYC! Dedicated teams of volunteers run, walk, or jog 2-4 miles with our members who are..."
East Harlem Morning Runner and Walker,Back on My Feet NYC,"Go the extra mile with Back on My Feet NYC's Team East Harlem! Dedicated teams of volunteers run, walk, or jog 2-4 miles with our members..."
Calling All Party Planners and Hosts!,"Bowery Residents' Committee, Inc.","Located in Harlem on 132nd Street, Cecil Ivory House is a 24 bed transitional housing program targeting formerly homeless clients who are..."
Do you enjoy creative writing?  Want to share your passion?,"Bowery Residents' Committee, Inc.","Do you enjoy the written word? Are you familiar with proper form and function in a poem? Do you have a passion for putting pen to paper,..."
Work Behind the Scenes as an Administrative Assistant!,"Bowery Residents' Committee, Inc.","BRC maintains nearly 375 supported apartments throughout Manhattan, Brooklyn and the Bronx through the HomePlus program. These apartments..."
Hunger Projects with New York Cares in Queens,New York Cares,"Volunteers on New York Cares' Hunger projects do more than simply serve a meal - they provide a warm smile, friendly conversation, and..."
Hunger Projects with New York Cares in Staten Island,New York Cares,"Volunteers on New York Cares' Hunger projects do more than simply serve a meal - they provide a warm smile, friendly conversation, and..."
Food Delivery Support in West Harlem (16+),Food Bank For New York City,"Unload the truck and help deliver new food items at our choice-style food pantry that provides more than 40,000 meals a month. Dress..."
"Sweep, Scrub, and Shine in West Harlem",Food Bank For New York City,"Our Community Kitchen and Pantry welcomes a multitude of both clients and guests everyday, but to keep our busy kitchen and pantry..."
Shop & Stock with Seniors in West Harlem (13+),Food Bank For New York City,"Volunteers assist senior citizen members of our pantry, check out and bag groceries, and restock shelves at our choice-style food pantry...."
Saturday Shop & Stock with Families in West Harlem,Food Bank For New York City,"We are excited to be launching a new expansion of our pantry offerings at the Community Kitchen and Pantry, opening up our pantry on..."
Shop & Stock with Families in West Harlem,Food Bank For New York City,"Volunteers assist families as they shop, check out and bag groceries, and restock shelves at our choice-style food pantry that provides..."
Repack in Hunts Point,Food Bank For New York City,You can provide vital help to us at our highest need project by sorting donated and bulk items into boxes of specific categories and...
Office Assistant for Food Justice Non-Profit,The Campaign Against Hunger (TCAH),The Campaign Against Hunger has been providing thousands upon thousands of people with free food and other social services for 20 years....
Weekend Repack in Hunts Point (BRONX),Food Bank For New York City,"One Saturday each month, we welcome volunteers of all ages to our Warehouse & Distribution Center in the Bronx, uniting in an effort..."
Habitat for Humanity NYC ReStore Volunteers Needed!,Habitat for Humanity New York City,Volunteer with the ReStore team and help us raise funds for Habitat for Humanity NYC! GENERAL SUMMARY: Habitat for Humanity NYC’s...
Volunteer To Cook & Serve Every Wednesday,MANDALA CAFE INC,"Each Wednesday, we prep & serve a simple vegetarian meal offering in Central Harlem for anyone who needs one. One can help cook..."
Serve and Host Meals at DOROT's Homeless Prevention Program for Seniors,"DOROT, Inc","Mix and mingle with DOROT’s Homelessness Prevention Program participants on Thursday evenings. Help serve group dinners, sample a..."
Creative Chefs for Food Pantry,The Campaign Against Hunger (TCAH),"The Campaign Against Hunger is a food pantry. But we are also so much more than that, offering classes and tastings of healthy foods to..."
Corporate and Group Volunteering with CUCS,Center for Urban Community Services,Our Volunteer Program gives corporate and large groups the opportunity to make a meaningful impact in supporting our mission. We have...
Safe House Volunteer for Survivors of Human Trafficking,LIFEWAY NETWORK INC,Our Mission 'to combat human trafficking through education and safe housing' was developed to stand in solidarity against the trafficking...
LOCAL NETWORK ADMINISTRATOR,"World Association for Community Empowerment, Inc.","We are seeking a volunteer Network Administrator/Support Technician with experience delivering technical support, implementation &..."
Start 2019 by Volunteering in our Food Pantry,The Campaign Against Hunger (TCAH),"At the Campaign Against Hunger, the heart of our mission is to provide food and other services that help our clients live healthy while..."
Hunger Helpers in Newark (St.Johns),Jersey Cares,"With our Hunger Helpers program, volunteers are empowered to change the lives of men, women, and children living in poverty. St...."
Food Pantry Plus Program     Helpers Needed,Reaching-Out Community Services Inc.,Reaching-Out Community Services operates as a supermarket- style client choice food pantry plus program. Our clients choose thier food...
Community Food Pantry: in need of stock boy,Reaching-Out Community Services Inc.,Volunteers will be assisting in our Digital Choice Supermarket-Style Food Pantry program. This is adignified way of helping those in need...
Opening Volunteer,Ansche Chesed Homeless Shelter,"Staff the Ansche Chesed shelter from 7pm to 9pm. Open doors, orient new guests, answer questions, monitor activities."
Advocacy Role,The Borgen Project,This is a great entry-level volunteer position for someone looking to be part of The Borgen Project. Advocates can operate from anywhere...
Homeless Christmas Boutique,Elizabeth Coalition to House the Homeless,The Elizabeth Coalition to House the Homeless hosts a Christmas Boutique each year for our homeless families. Family members can come to...
Homeless Shelter Volunteer,Elizabeth Coalition to House the Homeless,"The Elizabeth Coalition to House the Homeless runs a winter shelter program, Operation Warm Heart, every night from December through..."
BOOKED TO CAPACITY:  Volunteers Needed to Serve this Thanksgiving in the Bronx,"Bowery Residents' Committee, Inc.","WITH SINCERE THANKS TO THE GREATER NEW YORK CITY COMMUNITY, ALL AVAILABLE POSITIONS ARE NOW BOOKED AND ALL PROGRAMS ARE AT CAPACITY FOR..."
Help serve meals to hungry families in the Bronx!,Episcopal Charities,"Help serve families in need in the Bronx food at St. Andrew's Church! Volunteers of all ages are welcome, and groups of any size and..."
Help Stock a Food Pantry in the Bronx!,Episcopal Charities,"Help stock the food pantry at St. James' Fordham! Volunteers are needed on this Saturday of service to bag rice, organize the pantry and..."
Fundraising Help,Women and Families Ascending Association (WAFAA),"Volunteers are needed to help with fundraising for our non-profit organization. We focus on providing social services, including a..."
Fundraising Help,Women and Families Ascending Association (WAFAA),"Volunteers are needed to help with fundraising for our non-profit organization. We focus on providing social services, including a..."
Help Us Help Others!! Join Our Mission!,Women and Families Ascending Association (WAFAA),Women and Families Ascending Association (WAFAA) is a non-profit organization located in Wayne and Paterson New Jersey. Our mission is to...
Political Affairs Internship,The Borgen Project,"The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. This is a..."
Build with Habitat for Humanity in Queens!,Habitat for Humanity New York City,Volunteer with Habitat for Humanity in Queens! Habitat for Humanity New York City transforms lives by building quality homes with...
Help Latern Community Services with Admin Work at Bronx Location!,Lantern Community Services,Lantern Community Services is a non-profit organization that provides services to people who are formerly homeless or have recently aged...
Volunteer for Afterschool Program for homeless/ at risks of being homeless children.,Elizabeth Coalition to House the Homeless,Help homeless or at risk of being homeless children achieve better in school through after-school program. We are in great need of...
Group Volunteering Opportunities,Elizabeth Coalition to House the Homeless,"Are you part of a family, friend or work group that would like to volunteer together? We have many opportunities throughout the year for..."
Hospitality Volunteers,Elizabeth Coalition to House the Homeless,Each day we need 5 volunteers to provide afternoon hospitality to our Operation Warm Heart homeless guests before they are transported to...
Operation Warm Heart Volunteers Needed!,Elizabeth Coalition to House the Homeless,Operation Warm Heart is a winter homeless shelter program that runs from 12/1-3/31. Volunteers are needed to help staff the shelter...
IT Support,Elizabeth Coalition to House the Homeless,"We need someone on an ""on call"" basis to help us with sundry computer issues."
Donation Manager,Elizabeth Coalition to House the Homeless,"The Elizabeth Coalition to House the Homeless runs many programs that rely on the gracious generosity of donations, whether financial or..."
Handyman,Elizabeth Coalition to House the Homeless,The Elizabeth Coalition to House the Homeless' Hospitality House program is honored to maintain 3 houses that provide working homeless...
Hunger Projects with New York Cares in the Bronx,New York Cares,"Volunteers on New York Cares' Hunger projects do more than simply serve a meal - they provide a warm smile, friendly conversation, and..."
Marketplace in Newark (Community FoodBank of New Jersey),Jersey Cares,Serve the hungry from a mobile pantry by providing the many people who are unable to reach a community foodbank with this invaluable...
Marketplace in Hillside,Jersey Cares,Marketplace in Hillside is a project dedicated to battling hunger and poverty in our community. The Community FoodBank of New Jersey...
Marketplace in Clifton,Jersey Cares,"St. Peter's Haven Food Pantry serves over 1,000 Passaic County families and individuals in need by providing them with supplementary..."
Volunteering at Eva's Village,EVAS VILLAGE INC,CORPORATE SOCIAL RESPONSIBILITY - Fund a Meal Program Join us for a rewarding experience: groups of 10 employees serve lunch to the...
Workforce Development Volunteers,EVAS VILLAGE INC,"Partner with Eva's Workforce Development Program, whose goals are to empower, mentor and prepare clients with the knowledge, courage and..."
"Let me crash on your couch... please? - Yonkers, NY",ARFS GERMAN SHEPHERD INC,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation.Shelters do not...
2020 Point-In-Time Homeless Count Volunteer,St. Paul's Community Development Corporation,"On Wednesday, January 29, 2019 from 12:00 a.m. to 11:59 p.m., volunteers recruited by St. Paul's Community Development Corporation..."
Paterson Habitat for Humanity (AmeriCorps) - Full-Time,St. Paul's Community Development Corporation,Member Duties : Two (2) Full-time and two (2) Half-time AmeriCorps member positions are available. The Construction Coordinator Aide (FT)...
Emergency Men's Shelter -- Dinner Preparer & Server,St. Paul's Community Development Corporation,The St. Paul's Community Development Corporation -- Emergency Men's Shelter is in need of individuals or groups interested in PREPARING...
