title,org,desc
Walking Tour Guide,Hostelling International New York,"Walking Tour Guide Would you love to meet people from around the world? Do you love to show people around New York City? Everyday, we..."
One Time Event Volunteer,Hostelling International New York,Don't have time to regularly volunteer but still want to be part of a volunteer team? Join our volunteer roster! We are always looking...
Savannah's Holiday Season-Super HERO Cards and Cookies 4 Kids! Make a Human Smile...,My Charity 4 Kid's Inc/Volunteer One,"Welcome to Savannah’s Cards’ 4 Kids, Volunteers! It is an amazing program with amazing results, lifting the hearts and..."
Cards 4 Kids! Make a Child smile TODAY! =D,My Charity 4 Kid's Inc/Volunteer One,"Welcome to Savannah’s Cards’ 4 Kids, Volunteers! It is an amazing program with amazing results, lifting the hearts and..."
"Writing coach for Washington Heights, NYC public school literacy program (4MB)",Behind the Book,"Volunteer with Behind the Book (www.behindthebook.org), a non-profit literacy organization that inspires New York City public school..."
Special Event & Holidays Assistant,"The New Jewish Home, Manhattan Division","The New Jewish Home seeking volunteers to assist with event set-up and transport of residents to special events on holidays, weekends,..."
Create Holiday Arts & Crafts with Children in the Bronx,Episcopal Charities,Volunteer at St. Ann's in the Bronx by making arts and crafts for the holiday's with children ages 4-10. We will have holiday...
Visual Arts Teaching Assistant,ARTISTIC DREAMS INTERNATIONAL,Artistic Dreams International (ADI) is a NYC and Mexico based interdisciplinary arts education program. ADI is looking for a visual arts...
Volunteer Docent at the Newark Museum,NEWARK MUSEUM ASSOCIATION,"Become a docent at the Newark Museum! You might be wondering, what is a docent? A docent is a trained tour guide for the museum. Docents..."
Senior Board Members,Jazz Choreography Enterprises,Jazz Choreography Enterprises is a 501(c)(3) organization founded in 2007 that is dedicated to keeping the great American art of jazz...
Seniors Need Smiles: Friendly Visiting Opportunity,Jewish Community Council of Greater Coney Island,"Looking for volunteers to visit homebound seniors in the area of Coney Island, Brighton Beach and Marine Par Areas of Brooklyn. Call us..."
Friendly Visiting- Help Bring a Smile to a Senior's Face,Jewish Community Council of Greater Coney Island,Can you spare one hour a week? Why not make that one hour count! Join the Friendly Visiting Program and that one hour will make a...
Communications & Marketing intern (unpaid),Arab American Association of New York,The communications and marketing internship provides an excellent opportunity to get hands on experience with a dynamic non-profit...
Communications Intern,Harlem Film House Inc.,"Key Duties - Streamline company social media accounts (e.g. Facebook, Instagram, LinkedIn, etc.) to ensure uniform content and tone of..."
Pub Crawl Leader: Lead World Travelers to NYC Bars!,Hostelling International New York,Meet people from all over the world and show them a good time in New York! We are looking for volunteers to show off New York City...
Free Hostel Stay in Return for Volunteering (groups of 6+),Hostelling International New York,"At HI USA, we believe in the power of travel to open minds and the power of community service to open hearts. Above all, we believe that..."
Bring a smile to a sick child,Songs of Love Foundation,The Songs of Love Foundation just rebranded it's corporate presentation. It's called The Songs of Love Experience and it engages...
Help a child smile with The Songs of Love Foundation,Songs of Love Foundation,The Songs of Love Foundation is a 501(c)(3) non-profit dedicated to helping sick children nationwide by providing them with their very...
Artist/Photographer seeks INTERN for INTERNATIONAL Non Profit ART PROJECT,The Peace Caravan Project,Fine Art Artist/Photographer seeks top-notch INTERN to assist in large scale International Art Project. To apply you must be a reliable...
Visit with a Senior in Queens!,Queens Community House,Friendly Visiting is a social program for older adults. The program is funded by NYC Department of the Aging. The program matches...
Looking for a Board Chairperson,SEEING PLACE THEATER INC,We’re a 10 year old independent theater in NYC who recently got our 501c3 status. We’re looking to build our board and are...
Make art with at-risk public school kids!,The Time In Children's Arts Initiative,Time In would welcome those who love opera and the visual arts to join us and to support our kids as they make art! We work very closely...
Arty Readers:  Working with kids in Literacy through Opera and Japanese Manga,The Time In Children's Arts Initiative,"The Time In Children's Arts Initiative is America's leading opera and art program, specializes in providing a sophisticated arts..."
Administrative Assistant,Harlem Film House Inc.,Harlem Film House is looking for a volunteer to help it's Founder/CEO with basic administrative tasks. This volunteer position calls for...
Events Coordinator Intern,Harlem Film House Inc.,Overview: Harlem Film House Events Interns work closely with Executive Director in planning and managing nonprofit fundraising events...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in New York. With MusicLink, students (children under 18 years..."
Healing Without Borders,Coney Island Hospital,Patients and families come first. Complement CIH exceptional services by joining assignments that aim to ensure a comforting and healing...
Volunteer Musicians and Guides Needed in Staten Island for Musicians On Call!,Musicians On Call,Musicians On Call provides live and recorded music to the bedsides of patients in hospitals and health care facilities. We are excited to...
Volunteer as a Homework Helper,Astoria Values Inc.,We are looking for volunteers who would be able to help youth with their homework.We generally need volunteers between the hours of 8 AM...
Theatre Workshop Assistant at The New Jewish Home,"The New Jewish Home, Manhattan Division",Come join the elders at The New Jewish Home on Thursday mornings for Theatre Workshop. Volunteers will escort elders to & from the...
Music Appreciation at The New Jewish Home,"The New Jewish Home, Manhattan Division","The New Jewish Home, Manhattan is seeking music lovers to assist with our Music programs. We have several exiting programs scheduled..."
Talent Show Support Leaders,All Stars Project of New Jersey,The All Stars Project of New Jersey is celebrating 20 years of growing and building communities in Newark! Our mission is to transform...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in New York. With MusicLink, students (children under 18 years..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an interest in..."
Children's Recreation Projects with New York Cares in Queens,New York Cares,"Keeping kids physically active is an essential part of their development, so help us get them off the couch! Some projects available for..."
Seniors Projects with New York Cares in Queens,New York Cares,"Seniors in nursing facilities tend to have few visitors, but with a few hours of your time, you can provide the social interaction vital..."
Children's Recreation Projects with New York Cares in Staten Island,New York Cares,"Keeping kids physically active is an essential part of their development, so help us get them off the couch! Some projects available for..."
Seniors Projects with New York Cares in Staten Island,New York Cares,"Seniors in nursing facilities tend to have few visitors, but with a few hours of your time, you can provide the social interaction vital..."
Program Asst.,PRO YOUTH RECREATION AND FAMILY CENTER INC,Work with Our Nonprofit staff developing communications and helping to plan and execute events and educational programs. Responsibilities...
In need of an Arts and Crafts Instructor,DORCHESTER SENIOR CITIZENS CENTER INC,The Dorchester Senior Citizens Center is in need of an arts and crafts instructor to run a class once a week. Currently members are doing...
Volunteer as chinese Language helper,Astoria Values Inc.,"We are looking for volunteers who would be able to help kids & youth with Chinese language, we generally need volunteers between the..."
Makeup Instructor Needed!,AHRC NYC,"Here at AHRC we support individuals who have intellectual and developmental disabilities, many of the women are interested in learning..."
Marketing/Communications Internship Opportunity,Queens Economic Development Corporation,"We are seeking an enthusiastic intern with an interest in tourism promotion, event planning and outreach assistance. As part of our..."
Neighborhood Economic Development Internship,Queens Economic Development Corporation,"Assist in implementing commercial revitalization projects Participate in community outreach, perform business and shopper surveys Conduct..."
Membership Associates,African Voices Communications Inc.,Proven ability to attract new business and turn ideas into realities. We are not looking for individuals to pitch new ideas; we are...
Dynamic Volunteers Needed for Arts Organization,African Voices Communications Inc.,Seeking a dynamic team of self-motivated individuals with exceptional leadership and organizing skills to assist in expanding our...
Music Programs at The New Jewish Home,"The New Jewish Home, Manhattan Division",The New Jewish Home is seeking volunteers who are available weekly on Monday & Tuesday Afternoons in our auditorium as well as...
"""Introduce Children to Art and Museums""",ArtWorks NYC,Enthusiastic volunteers are needed to introduce school children to art and museums. We will train you to give guided tours at the...
Legal Professional for Nonprofit Organization,NOREE CHAMBER SOLOISTS,Noree Chamber Soloists is an NYC based chamber music ensemble that presents dynamic chamber music and concerto performance. We are...
Graphic Design to Spread Cultural Activities,El Taller Latino Americano,"Are you a skilled graphicdesigner? Are you proficient in Adobe Illustrator, InDesign & Photoshop? Do you know how to edit videos? We..."
Social Media Volunteer,El Taller Latino Americano,"We are seeking volunteers to help us build and support our social media presence, specifically through Meetup, Facebook, Twitter,..."
MAM After Hours,MONTCLAIR ART MUSEUM,"Featuring a live performance by Steely Dan Tribute band, The Royal Scam, this intimate and engaging set will include live music and bar..."
Thanksgiving Home Visits,Commonpoint Queens,"We'll be making festive Thanksgiving bags and delivering them to seniors in our neighborhood. Meet at Sam Field Center, receive a..."
Cards 4 Kids! Make a Child smile TODAY! =D,My Charity 4 Kid's Inc/Volunteer One,"Welcome to Savannah’s Cards’ 4 Kids, Volunteers! It is an amazing program with amazing results, lifting the hearts and..."
Bankra Caribbean Festival Volunteer,Braata Productions,Apply to become a Bankra Volunteer now. Volunteers are needed in a number of roles: STAGE MANAGER BRAATA MERCHANDISE SALE VOLUNTEER...
Grand Market Bronx Volunteers,Braata Productions,Apply to become a Grand Market Volunteer now. Volunteers are needed in a number of roles: STAGE MANAGER BRAATA MERCHANDISE SALE VOLUNTEER...
Intern / Volunteer Wanted,Foundation for a Drug Free World - NY Chapter,"Summer Volunteer / Intern wanted for a drug education program based in Bayside, Queens. We need a summer volunteer / intern who can: 1)..."
Communication Committee for Russian American Ballet nonprofit organization,Brighton Ballet Theater Co Inc./ School of...,"We need experts in various communication fields to help bring our school to a new level, where our name will be known throughout New York..."
Retail and Rentals Inventory,MONTCLAIR ART MUSEUM,"The Montclair Art Museum, together with its Vance Wall Art Education Center, engages our diverse community through distinctive..."
Free First Thursday Night (December),MONTCLAIR ART MUSEUM,Free First Thursday Nights invite MAM’s entire community to enjoy a night out at the Museum the first Thursday of the month...
Free First Thursday Night (June),MONTCLAIR ART MUSEUM,Free First Thursday Nights invite MAM’s entire community to enjoy a night out at the Museum the first Thursday of the month...
Free First Thursday Night (March),MONTCLAIR ART MUSEUM,Free First Thursday Nights invite MAM’s entire community to enjoy a night out at the Museum the first Thursday of the month...
Free First Thursday Night (April),MONTCLAIR ART MUSEUM,Free First Thursday Nights invite MAM’s entire community to enjoy a night out at the Museum the first Thursday of the month...
Free First Thursday Night (May),MONTCLAIR ART MUSEUM,Free First Thursday Nights invite MAM’s entire community to enjoy a night out at the Museum the first Thursday of the month...
Free First Thursday Night (February),MONTCLAIR ART MUSEUM,Free First Thursday Nights invite MAM’s entire community to enjoy a night out at the Museum the first Thursday of the month...
[Fall] Volunteer Opportunity [Hackensack] : 501(3) Joyful Learning After-school Program...,Give Chances,We are running free after schools for children underprivileged in order to give chances for them to get self esteem and confidence in...
Volunteer Musicians Needed for MOC at Children's Hospital at Montefiore,Musicians On Call,MOC is looking for volunteer musicians to join our new program at the Children's Hospital at Montefiore in the Bronx. This program will...
Volunteer Guides Needed for MOC's Bedside Program at Children's Hospital at Montefiore,Musicians On Call,Volunteer Guides escort Volunteer Musicians from room to room as they play music for patients. Volunteer Guides knock on each hospital...
Annual Bronx Christmas Show,I'RAISE Girls & Boys International,"Looking for energetic positive and passionate volunteers to volunteer for Annual Christmas Event which includes live music, live musical..."
Guns Down Gloves Up,TRAVELWITHCHAZ INC,Guns Down Gloves Up is a FREE 8 week boxing cardio program for youth and families. The goal is to curb violence with at risk youth while...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an interest in..."
Spanish Language Instructor,New York Public Library,Our Allerton Library is looking for a Spanish-speaking volunteer to teach Basic Spanish. Spend one hour every Monday or Wednesday evening...
Children's Recreation Projects with New York Cares in the Bronx,New York Cares,"Keeping kids physically active is an essential part of their development, so help us get them off the couch! Some projects available for..."
Seniors Projects with New York Cares in the Bronx,New York Cares,"Seniors in nursing facilities tend to have few visitors, but with a few hours of your time, you can provide the social interaction vital..."
King Manor Family Programs Volunteer,King Manor Museum,"To apply or for more info, please visit: http://kingmanor.org/support/volunteer.php & click on link for family programs & follow..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of music teachers in New York. With MusicLink, students (children under 18 years old) who show an interest in taking..."
Spanish Language Support,WASHINGTON HEIGHTS CHAMBER ORCHESTRA CORPORATION,The Washington Heights Orchestra is seeking Spanish-language support for our activities! Our organization is located uptown in a diverse...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an..."
Art of Life Therapy in Englewood,Jersey Cares,Connect with the human spirit and make a new friend. You can uplift and enrich someone's life through the art of conversation. This elder...
Events Volunteer - Classical Orchestra,WASHINGTON HEIGHTS CHAMBER ORCHESTRA CORPORATION,The Washington Heights Chamber Orchestra is seeking volunteers for its 2017-2018 season! Be part of a great community cause by helping to...
"Photographers |or| Videographers (Island Park, NY)",Ruff House Rescue,"Become a Volunteer, change homeless Dogs and Cats Lives! At Ruff House Rescue we know you must have a kind heart because you wanting to..."
Program Facilitator,EPITOME OF SOUL INC,"Epitome of Soul, Inc. is a non-profit organization focusing on arts education and cultural development. The Program Facilitator Volunteer..."
Downtown Clean Up,Village of Great Neck Plaza,"The Village of Great Neck Plaza is seeking volunteers on our Operation Downtown Clean Up. Volunteers will be given a t-shirt, gloves,..."
art lesson assistant for classes with special needs,Cerebral Palsy of North Jersey,We are looking for a very special volunteer to assist with the presentation of art lessons to primary and middle school students with...
Girls' Drumline Instructor (NJ) Rahway Location,Friends of MJHS,The SoulDeevas' Performing Arts Company is searching for a Drumline Instructor to lead its first all-girls drumline! The program is not...
ballroom dance (no experience needed),Cerebral Palsy of North Jersey,Do you love to dance? Join our Hot Wheels ballroom dance team! Volunteers are needed to serve as dance partners to high school students...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in New York. With MusicLink, students (children under 18 years..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in New York. With MusicLink, students (children under 18 years..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in New York. With MusicLink, students (children under 18 years..."
MANAGERIAL ASSISTANT,SHRI NAVAGRAHA DEVASTHANAM OF NORTH AMERICA INC,A Managerial Assistant is required at a community centres in New Hyde Park NY. Experience is preferred although not essential. Candidates...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an interest in..."
Coach - NJ Hip-Hop Majorette Dance Team (Grades K-5),Friends of MJHS,The SoulDeevas are looking for a committed choreographer to serve as coach for its Hip-Hop Majorette Dance team serving a small group of...
Master Class Dance Instructor NJ,Friends of MJHS,We are looking for creative and committed individuals experienced in any genre of dance to conduct a Master Class for the SoulDeevas - a...
Senior Fitness Volunteer,"Enrichment Center for Women, Children and...","Senior Activities Volunteer: Organize, promote and develop activities with hands on engagement to encourage older adults to get involved..."
Performing Arts Volunteer,"Enrichment Center for Women, Children and...","Assist with the creation and implementation of a creative and engaging performing arts program. Including dance, drama, and spoken word,..."
Games Master,The Wartburg Adult Care Community,"Either assist or run our Bingo, Pokeno or many other games for the residents at the Waltemade Nursing Care Center, or the Meadowview..."
Share a Special Talent,The Wartburg Adult Care Community,"Are you musically inclined, can paint, play an instrument, act or dance? We would like to have you share those talents with us and our..."
Guest Lecturer,The Wartburg Adult Care Community,We are looking for presenters to come and stimulate alert senior citizens with an interesting hobby and knowledge of different subjects...
