title,org,desc
Special Events Volunteer,All Stars Project of New Jersey,"The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 35 years ago. Our mission is to..."
Volunteering Opportunity @ Extreme Kids and Crew,Extreme Kids and Crew,"Extreme Kids & Crew is a welcoming community center where children with disabilities, their friends, and their families, socialize,..."
Talent Show Support Leaders,All Stars Project of New Jersey,The All Stars Project of New Jersey is celebrating 20 years of growing and building communities in Newark! Our mission is to transform...
Administrative Volunteer Support Staff,All Stars Project of New Jersey,Do you have a passion for becoming a leader? Do you wish to be able to affect social change for some of New Jersey’s most talented...
Elementary Tutor,Thurgood Marshall Academy Lower School,"volunteer readers for k-2 graders during the school day volunteer tutors for upper grade students after school Math, ELA enthusiastic,..."
A love for education grows in the Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
"Bronx, NY: Autism Volunteer (170th Street)",ASD Climber Foundation,Welcome to the ASD Climber Foundation! ASD stands for Autism Spectrum Disorders. We are working with a family in your area with a child...
"Newark, NJ: Autism Volunteer",ASD Climber Foundation,Welcome to the ASD Climber Foundation! ASD stands for Autism Spectrum Disorders. We are working with a family in your area with a child...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in New York. With MusicLink, students (children under 18 years..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an interest in..."
A love for education grows in the Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Volunteer Dog Teams,"A Fair Shake for Youth, Inc.",Would you like to make a difference with your dog? Disadvantaged children in New York City need help. Now you and your dog can help them....
Tutors Needed 2nd -12th Grade,Star Learning Center,"Star Learning Center, a program of Goddard Riverside Community Center, is looking for volunteer tutors to work with underserved students..."
Funding Proposal help!,Animal Connection,Hello volunteermatch world! I am working on procuring funding for my project www.animalconenction.info we do animal sanctuary trips and...
Reading Tutor in East Harlem,National Council of Jewish Women NY Section,NCJW NY needs volunteers for our Reading Tutors Program! Our site at Union Settlement’s Rising Stars after school program in P.S....
Volunteer to tutor students in the South Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Cancer Foundation Internship,The Cristian Rivera Foundation,"Are you looking to start making a valuable contribution to our world? Are you looking for an Internship that changes lives, where your..."
Homework Helper,New York Public Library,"Volunteers are needed weekday afternoons, Monday and Wednesday to assist youth in grades 1- 6 with a variety of homework subjects."
Education Internship,"South Bronx United, Inc.",Overview: South Bronx United Education Interns work closely with SBU educational staff in coordinating and supervising the SBU After...
Volunteer to read with children in the South Bronx!,Episcopal Charities,Do you love to read? Do you love working with kids? This is the PERFECT opportunity for you! St. Ann's in the Bronx is looking for...
Volunteer to tutor students in the South Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
"Support our Students in our After-School Programs as a Tutor, Helper, and Friend!",East Harlem Tutorial Program,"East Harlem Tutorial Program offers a variety of volunteer opportunities through our public charter schools, after-school, and summer..."
"Support our Students in our Schools as a Tutor, Helper, and Friend!",East Harlem Tutorial Program,"East Harlem Tutorial Program offers a variety of volunteer opportunities through our public charter schools, after-school, and summer..."
Adults and Children with Special Needs Projects with New York Cares in Queens,New York Cares,"New York Cares offers many programs serving adults and children with special needs, which present our volunteers with a chance to give a..."
Meal assistance,"Youth Action Programs and Homes, Inc. (Youth...",Youth Action Meal Service Assistant Looking for a volunteer with a current NYC food handlers certification (willing to sponsor if needed)...
Children's Education Projects with New York Cares in Queens,New York Cares,Help build a strong foundation for the academic achievement of young New Yorkers. New York Cares' Children's Education projects help New...
Children's Recreation Projects with New York Cares in Queens,New York Cares,"Keeping kids physically active is an essential part of their development, so help us get them off the couch! Some projects available for..."
Children's Education Projects with New York Cares in Staten Island,New York Cares,Help build a strong foundation for the academic achievement of young New Yorkers. New York Cares' Children's Education projects help New...
Adults and Children with Special Needs Projects with New York Cares in Staten Island,New York Cares,"New York Cares offers many programs serving adults and children with special needs, which present our volunteers with a chance to give a..."
Children's Recreation Projects with New York Cares in Staten Island,New York Cares,"Keeping kids physically active is an essential part of their development, so help us get them off the couch! Some projects available for..."
"Newark: Seeking Dynamic, Professional, Female Leaders for Women's Empowerment Org",WGIRLS INC,"Are you a bright, motivated, self-starting professional woman who cares deeply about the needs of women and children in your community?..."
Program Asst.,PRO YOUTH RECREATION AND FAMILY CENTER INC,Work with Our Nonprofit staff developing communications and helping to plan and execute events and educational programs. Responsibilities...
Speak Up,PRO YOUTH RECREATION AND FAMILY CENTER INC,"Volunteers help students in grades 8 and 9 gain confidence in their public speaking skills by introducing them to improvisation, speech..."
Career Exploration,PRO YOUTH RECREATION AND FAMILY CENTER INC,"Middle school and high school students are introduced to career preparation skills and techniques including resume writing, interviewing,..."
Life Skills,PRO YOUTH RECREATION AND FAMILY CENTER INC,"To teach them how to cook, how to create a budget, plan for college, compose a resume, do laundry, and other essential life saving..."
Volunteer to tutor students in the South Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Volunteer as chinese Language helper,Astoria Values Inc.,"We are looking for volunteers who would be able to help kids & youth with Chinese language, we generally need volunteers between the..."
Seeking a Karate Instructor,AHRC NYC,Have you previously been a karate instructor or are you a black belt not using your skills? Here at AHRC we support individuals who have...
Leader for Sing-a-long for Moms & Toddlers,FRIENDS OF NEW YORK CITY NURSE FAMILY...,Do you enjoy being around toddlers and young moms? Are you able to put together an array of songs appropriate for a sing a long. Maybe...
Volunteer to tutor students in the South Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Do you love MATH? Volunteer MATH Tutors needed in Upper West Side!,"Top Honors, Inc.","Top Honors is a non-profit educational organization that provides free math tutoring to NYC 5th, 6th, 7th, and 8th-graders. Tutoring..."
"Social Worker for ""at risk"" girls group",SEEDS TO FLOWERS INC,"Seeds To Flowers, Inc is a non profit at empowers at risk girls in low income communities through education, personal development and..."
Advocate for Children in Foster Care,CASA for Children of Essex County,CASA volunteers are community members who have a sincere desire to make a difference in the life of a child in foster care by becoming an...
Daycare classroom volunteer,Learn & Discover Inc,Love children? Great opportunity to help out in daycare classroom with children age newborn to 3.5. Program hours 9 am to 3:30 monday...
Board Member: CPA Volunteer for kids non-profit,Hosh Yoga,Hosh Kids needs your help! As we make enrichment education for all children possible. We are looking for some enthusiastic volunteers to...
Afterschool Tutor,Dominico-American Society of Queens,"The instructor should be actively involved with the students, focusing on improving their academic records as well as strengthening areas..."
Photography and Graphic Design Intern,Nia Community Services Network,"Volunteer Opportunity Available: NIA seeks a Photography and Graphic Design Intern to take photographs, design flyers, and assist with..."
Travel Soccer Goalie Coach,"South Bronx United, Inc.",Overview: South Bronx United is seeking energetic and committed volunteer goalie coaches with a passion for youth development and soccer...
College Advisory Internship,"South Bronx United, Inc.",Overview: South Bronx United College Advisory Interns work closely with SBU's Director of College Guidance and Alumni to help coordinate...
ESOL Tutor,"South Bronx United, Inc.",Overview: ESOL tutors work either 1-on-1 or with small groups of students in the South Bronx United Youth Development Program who are...
College Prep Tutor - Sophomores,"South Bronx United, Inc.",Overview: Tutors for the SBU Sophomore Skills program work with small groups of Sophomores and provide them with the academic support...
College Prep Tutor - Seniors,"South Bronx United, Inc.","Overview: College Prep Tutors work with seniors within the SBU college prep program, 1-on-1 or in small groups, to assist them in..."
Travel Soccer Coach & Mentor,"South Bronx United, Inc.",Overview: South Bronx United is seeking energetic and committed volunteer assistant coaches with a passion for youth development and...
After-School Soccer Coach,"South Bronx United, Inc.",Overview: South Bronx United is seeking coaches that not only want to share the joy of playing the sport but also want to reinforce the...
College Prep Tutor - SAT Prep,"South Bronx United, Inc.",Overview: Tutors for the SBU SAT Prep program work with small groups of Junior and provide them with the academic support needed to...
After-School Tutor,"South Bronx United, Inc.",Overview: After-School Tutors work with small groups (3-4 students) of boys and girls in the South Bronx United Youth Development Program...
Girls Soccer Coach & Mentor,"South Bronx United, Inc.",Overview: South Bronx United is seeking volunteer assistant coaches to help with SBU's three girls' competitive travel soccer teams and...
College Prep Mentor,"South Bronx United, Inc.",Overview: SBU College Prep Mentors provide program youth with the tools necessary to graduate high school and attend college. College...
Soccer Coach-Mentor: SBU Global Youth League,"South Bronx United, Inc.",Program Overview: South Bronx United's (SBU) Global Youth League aims to partner with immigrant youth in the Bronx as they transition to...
Non-Profit Development Internship,"South Bronx United, Inc.",Overview: Non-profit development interns work closely with South Bronx United's Executive Director in building organizational capacity in...
Head Coach & Mentor for Girls Competitive Soccer Team,"South Bronx United, Inc.",Overview South Bronx United (SBU) is seeking energetic individuals with a passion for youth development and sports to join our team as...
Dynamic Volunteers Needed for Arts Organization,African Voices Communications Inc.,Seeking a dynamic team of self-motivated individuals with exceptional leadership and organizing skills to assist in expanding our...
Seeking Parents and Teens for Adolescent Well-Being Study,TEACHERS COLLEGE COLUMBIA UNIVERSITY,"Researchers at Teachers College, Columbia University are seeking adolescents and young adults (ages 15-19 years) to participate in a..."
Child Life Volunteer,THE BROOKDALE UNIVERSITY HOSPITAL AND MEDICAL...,The Volunteer Services Department at the Brookdale Hospital and Medical Center is seeking volunteers to participate in their Volunteer...
Fundraiser planning,LASSERRES OWN HANDS INC,Our organization is looking for volunteers to help plan our next fundraiser happening in the Fall 2019. We will need help with the...
Volunteer with a Therapeutic Horsemanship Program in Queens (Howard Beach),GallopNYC,"GallopNYC uses therapeutic horsemanship to help riders in NYC with disabilities walk, talk and learn,inspiring them to live their lives..."
Baby Minder/Hospitality Volunteer STATEN ISLAND,FRIENDS OF NEW YORK CITY NURSE FAMILY...,Friends of NYC Nurse Family Partnership helps first-time low-income mothers get their babies off to a good start. We need volunteers to...
"""Introduce Children to Art and Museums""",ArtWorks NYC,Enthusiastic volunteers are needed to introduce school children to art and museums. We will train you to give guided tours at the...
Volunteer with Masa's Las Adelitas - a young women's leadership program,Masa,"About Masa: Masa partners with Mexican and Latino immigrant children, youth, and families in the South Bronx to develop strong learners..."
Program Manager Intern - Unpaid,STEM Kids NYC,We are seeking a Program Manager to develop and oversee all aspects of our STEM Education Program. The Program Manager will work closely...
Administrative Assistant,STEM Kids NYC,"We are looking for a part-time Administrative Assistant to join our team. STEM Kids NYC is a small organization, currently run by a core..."
Technical Reviewer,THE KNOWLEDGE HOUSE,"Sign Up Here: http://www.theknowledgehouse.org/volunteer/ Objective/Purpose: As a Technical Reviewer, you will be responsible for helping..."
Family Playgroup Volunteer,Spence-Chapin Services to Families and Children,Is your family connected to adoption? Apply to Spence-Chapin’s volunteer program. We’re looking for caring and responsible...
Become A Mentor,Spence-Chapin Services to Families and Children,Are you connected to adoption? Apply to be a Mentor. Spence-Chapin’s Adoption Mentorship Program connects middle and high school...
Volunteer with Masa's Las Adelitas - a young women's leadership program,Masa,"About Masa: Masa partners with Mexican and Latino immigrant children, youth, and families in the South Bronx to develop strong learners..."
Baby-Minder/Hospitality Volunteer at Learning & Play Events,FRIENDS OF NEW YORK CITY NURSE FAMILY...,"Our organization, The Friends of NYC Nurse Family Partnership, helps low-income first-time mothers in the 5 boroughs get their babies off..."
Yoga Instructor & Baby Massage Teacher for Young Mothers,FRIENDS OF NEW YORK CITY NURSE FAMILY...,We need a Baby Massage Teacher and a Yoga Instructor to spend a couple of hours with our wonderful young mothers. We're the Friends of...
Web development /Design /programming support - Please help us help those in need,Lutheran Social Services of New York,"Our online platforms help us to service families, children, adults and seniors in need. We are looking to further develop and optimize..."
AFTERSCHOOL TUTOR/ACTIVITIES COACH,"World Association for Community Empowerment, Inc.",We are currently looking for volunteers with teaching experience/college students/High School graduates to help disadvantage children in...
Childhood Development Expert for Children 0-2/Early Intervention Professional,FRIENDS OF NEW YORK CITY NURSE FAMILY...,Do you have a few hours to spend helping us devlop programs for young mothers and their babies? The mission of Friends of NYC...
Homework Helpers in Little Ferry,Jersey Cares,Tutor and coach K-12 students withe academic support at the Meadowlands Success Center.
Administrative Support,PRO YOUTH RECREATION AND FAMILY CENTER INC,"Administrative Support volunteers provide reception and administrative support. This position assists with the needs of our clients,..."
Food Pantry Plus Program     Helpers Needed,Reaching-Out Community Services Inc.,Reaching-Out Community Services operates as a supermarket- style client choice food pantry plus program. Our clients choose thier food...
Therapy Gym Assistant,Children's Specialized Hospital,Assist therapists with variety of non-therapeutic duties. Acts as an opportunity for volunteers to observe actual therapy treatment...
"Volunteer to Tutor a child - Become a reading partner (South Jamaica, NY)",Reading Partners,Become a reading partner this Fall - make a lifelong impact on a child Reading Partners is an education nonprofit that mobilizes...
"Volunteer to Tutor a child - Become a reading partner  (Queens, NY)",Reading Partners,Become a reading partner this Fall - make a lifelong impact on a child Reading Partners is an education nonprofit that mobilizes...
Summer in the Winter Carnival (Children+Event support),The Fresh Air Fund,Help us bring a little summer to our Fresh Air families...in the middle of winter! We are hosting a free community event that will...
"MS 216 Volunteers (Lead a class, teach a skill, be a mentor)",Commonpoint Queens,We are looking for volunteers to share their skills with us during summer camp! This can be anything from dance to yoga to art. If you...
GWC: Girls Who Code facilitator in Elizabeth,JerseySTEM,"JerseySTEM Girls Who Code Clubs are led by Facilitators, who are 18+ and can be computer scientists, parents, college students or..."
SIT: Community Site Liaison Linden NJ,JerseySTEM,Title: SIT Community Site Liaison - Linden NJ Category: SIT Department/Group: Community Engagement Travel Required: No Location: various...
"Start a Mini-THON - Bring a fun, interactive leadership program to your school!",Four Diamonds,Four Diamonds’ Mini-THON is a K-12 opportunity where students are empowered to become leaders in the fight against childhood cancer...
"SIT: Community Site Liaison, Roselle, NJ",JerseySTEM,"JerseySTEM Title: SIT Community Site Liaison - Roselle, NJ Category: SIT Department/Group: Community Engagement Travel Required: No..."
Volunteer Income Tax Assistant,AGAPE HOUSE OF WORSHIP (AHOW),"As a volunteer Tax Assistant, you will assist working families with their tax returns during the tax season. Tax Assistants will be..."
GWC: Girls Who Code facilitator in Newark,JerseySTEM,"JerseySTEM Girls Who Code Clubs are led by Facilitators, who are 18+ and can be computer scientists, parents, college students or..."
Homeless Christmas Boutique,Elizabeth Coalition to House the Homeless,The Elizabeth Coalition to House the Homeless hosts a Christmas Boutique each year for our homeless families. Family members can come to...
Cards 4 Kids! Make a Child smile TODAY! =D,My Charity 4 Kid's Inc/Volunteer One,"Welcome to Savannah’s Cards’ 4 Kids, Volunteers! It is an amazing program with amazing results, lifting the hearts and..."
Help Feed New York Edge Families this Holiday!,New York Edge,Students and families with gathered P.S.121X for a healthy meal catered by Whole Foods to celebrate the holiday season. Families and...
ONLINE VOLUTEERING,My Charity 4 Kid's Inc/Volunteer One,Volunteer to post our Online Opportunities and gain Community Service hours! We want this to go Viral by 2018 ! Help us reach 1Mill...
Kids Chanukah & Winter Festival Volunteers (SF&CQ),Commonpoint Queens,"Come help out at our kid’s parties. We need help with kids’ activities, serving food, and managing tables. We rely heavily on..."
Feed the Community,THE UNION GROVE BAPTIST CHURCH,Thank you for reviewing this opportunity. Union Grove Missionary Baptist church has be serving its community for over 20 years in various...
Intern / Volunteer Wanted,Foundation for a Drug Free World - NY Chapter,"Summer Volunteer / Intern wanted for a drug education program based in Bayside, Queens. We need a summer volunteer / intern who can: 1)..."
Administrator / Secretary Position,Foundation for a Drug Free World - NY Chapter,"We are looking for a volunteer / intern, with potentiality of turning into long term job position, who will be an Executive Assistant and..."
Drug Education Events & Presentations: Internship/Volunteer Opportunity,Foundation for a Drug Free World - NY Chapter,"A Drug Education international organization has a NY Chapter in Bayside, Queens. We put on free drug education to schools, after-school..."
BRONX: Calling all college students who are passionate about education & mentorship!,Let's Get Ready,A Let’s Get Ready Access Coach is a volunteer position for current undergraduate college students or recent graduates interested in...
Videographer Wanted,Foundation for a Drug Free World - NY Chapter,We are looking for a volunteer who can video all of our events. We provide free drug education events to NYC schools and after-school...
Fundraising Help,Women and Families Ascending Association (WAFAA),"Volunteers are needed to help with fundraising for our non-profit organization. We focus on providing social services, including a..."
Grant Writer,Women and Families Ascending Association (WAFAA),Volunteers needed to help with grant writing.PLEASE SUBMIT RESUME AND APPLICATION DIRECTLY TO Wafaa@wafaaorganization.org AND THEN PLEASE...
Help Us Help Others!! Join Our Mission!,Women and Families Ascending Association (WAFAA),Women and Families Ascending Association (WAFAA) is a non-profit organization located in Wayne and Paterson New Jersey. Our mission is to...
Grant Writer,Women and Families Ascending Association (WAFAA),Volunteers needed to help with grant writing.PLEASE SUBMIT RESUME AND APPLICATION DIRECTLY TO Wafaa@wafaaorganization.org AND THEN PLEASE...
Licensed Clinician,Women and Families Ascending Association (WAFAA),Licensed clinician needed to help with general issues.
Fundraising Help,Women and Families Ascending Association (WAFAA),"Volunteers are needed to help with fundraising for our non-profit organization. We focus on providing social services, including a..."
Editor Internship,The Borgen Project,"The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Editors edit..."
Projects with kids special needs (multiple opportunities),Commonpoint Queens,Looking for responsible high school students to volunteer with participants with developmental disabilities in evening programs below:...
Forever DC Mentorship Program Volunteers,FOREVER DC MENTORSHIP,"Are you creative, self-motivated, and have passion in supporting the community? Do you have experience working with people in general? If..."
Tutor Children,Jewish Family Service of MetroWest,Volunteers needed to tutor children afterschool Monday - Friday between the hours of 3PM - 6PM. Children range in age from 1st grade...
Volunteer Center for 55+,Jewish Family Service of MetroWest,Retired & Senior Volunteer Program (RSVP) RSVP Center of Essex and Hudson Counties is a comprehensive community service organization...
Reading Buddies (Essex County),Jewish Family Service of MetroWest,"Reading Buddies, a program of the RSVP Center of Essex and Hudson Counties at Jewish Family Service MetroWest, engages older adult..."
[Fall] Volunteer Opportunity [Hackensack] : 501(3) Joyful Learning After-school Program...,Give Chances,We are running free after schools for children underprivileged in order to give chances for them to get self esteem and confidence in...
Start Out Fresh Intervention Advocates Seeks Volunteers!,SOFIA - Start Out Fresh Intervention Advocates,"Start Out Fresh Intervention Advocates, fondly referred to as S.O.F.I.A., is a 501(c)(3) non-profit organization that provides advocacy,..."
Volunteer Grant Writer,"Complete Girlz, Inc.",We are seeking a Volunteer Grant Writer (Experienced preferred) for our Program. Please contact us at 718-425-0900 or...
Floating Teacher,"Complete Girlz, Inc.",We are seeking 2 floating teachers to cover 2 separate lcoations. Contact us ASAP for more details at 718-425-0900 or...
Volunteer at Elite Skills,ELITE SKILLS,"The daily tasks will be dependent on what level of skill and knowledge the intern possesses in the field of youth sports, more..."
Volunteers & Board Members,Project Re-Direct/Youth & Family Services,Project Re-Direct/Youth & Family Services is looking to start our new school year /2018-2019 with a bang! We have volunteer...
Group Volunteering Opportunities,Elizabeth Coalition to House the Homeless,"Are you part of a family, friend or work group that would like to volunteer together? We have many opportunities throughout the year for..."
Volunteer for Afterschool Program for homeless/ at risks of being homeless children.,Elizabeth Coalition to House the Homeless,Help homeless or at risk of being homeless children achieve better in school through after-school program. We are in great need of...
Becoming a Board Member,French American Academy in New Milford,"The French American Academy needs men and women willing to step up and participate to the governance of the school, bringing ideas,..."
Basketball Coach/Trainer,ONE VILLAGE ONE VOICE INC,"One Village One Voice is a 501(c)3 Nonprofit Organization located in the Bronx, We focus on keeping youth off the streets through sports..."
Chess Instructor,ONE VILLAGE ONE VOICE INC,"One Village One Voice is a 501(c)3 Nonprofit Organization located in the Bronx, We focus on keeping youth off the streets through sports..."
Tutor Lantern Elementary and Middle School Students!,Lantern Community Services,Lantern Community Services is an organization that champions the independence and well-being of New Yorkers who are formerly homeless or...
Dance Teacher,"Complete Girlz, Inc.",We are seeking a dance teacher to teach dance for an hour and a half once a month on Saturdays.
Vice President Development (New York Metro Area),IMAGE IMPACT INTERNATIONAL,Image Impact International seeks a highly motivated Vice President of Development to join our all-volunteer team. This volunteer Board...
Training 4 Impact Chair (NY Metro Area),IMAGE IMPACT INTERNATIONAL,Volunteer Position Description Image Impact International's (III) Training 4 Impact (T4I) Program Chair works collaboratively and in...
Tutor,PALESTINIAN AMERICAN COMMUNITY CENTER,"Our after-school educational program seeks talented, experienced Tutors in all subject areas for students between grades k - 8 and 9-12...."
Teachers Assistant,PALESTINIAN AMERICAN COMMUNITY CENTER,We are need of a volunteer to assist our teachers in the classroom. We have small class sizes with about 10 students per class but...
Child Advocacy Summer Internships at CASA of Union County,"CASA of Union County, Inc.","Every year more than half a million abused and neglected children across this country are in need of safe, permanent, nurturing homes...."
Big Brother Big Sister Mentoring Program,I'RAISE Girls & Boys International,I'RAISE Offers an exciting and rewarding opportunity to individuals seeking to become a role model and make a positive impact on younger...
Annual Bronx Christmas Show,I'RAISE Girls & Boys International,"Looking for energetic positive and passionate volunteers to volunteer for Annual Christmas Event which includes live music, live musical..."
"Verona, NJ: Autism Volunteer",ASD Climber Foundation,Welcome to the ASD Climber Foundation! ASD stands for Autism Spectrum Disorders. We are working with a family in your area with a child...
"Montclair, NJ: Autism Volunteer",ASD Climber Foundation,Welcome to the ASD Climber Foundation! ASD stands for Autism Spectrum Disorders. We are working with a family in your area with a child...
"Englewood, NJ: Autism Volunteer",ASD Climber Foundation,Welcome to the ASD Climber Foundation! ASD stands for Autism Spectrum Disorders. We are working with a family in your area with a child...
Guns Down Gloves Up,TRAVELWITHCHAZ INC,Guns Down Gloves Up is a FREE 8 week boxing cardio program for youth and families. The goal is to curb violence with at risk youth while...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an interest in..."
Calling Early Childhood STEM Teachers! We're Looking For STEM PreK Instructors,STEM Kids NYC,"Come enliven the intellect and spirit of the youngest of curious learners who are ages 3, 4, or 5! In our program, you will work with a..."
After-school Homework Assistant,MILLION REASONS,Million Reasons is a non-profit organization started in 2016 to make a difference in the lives of children from low-socio economic...
English Tutor,MILLION REASONS,Million Reasons is a non-profit organization started in 2016 to make a difference in the lives of children from low-socio economic...
Mathematics Tutor,MILLION REASONS,Million Reasons is a non-profit organization started in 2016 to make a difference in the lives of children from low-socio economic...
Homework Helper,New York Public Library,Bronx Library Center is looking for Homework Helpers for Monday-Thursday afternoons. 4pm - 6pm. Assist youth ages 5-12 in various...
Readers Needed!,Trinitas Regional Medical Center,Do you love to read? Would you like to make a difference in a child's life? Trinitas Hospital participates in the national literacy...
Adults and Children with Special Needs Projects with New York Cares in the Bronx,New York Cares,"New York Cares offers many programs serving adults and children with special needs, which present our volunteers with a chance to give a..."
Children's Education Projects with New York Cares in the Bronx,New York Cares,Help build a strong foundation for the academic achievement of young New Yorkers. New York Cares' Children's Education projects help New...
Children's Recreation Projects with New York Cares in the Bronx,New York Cares,"Keeping kids physically active is an essential part of their development, so help us get them off the couch! Some projects available for..."
SAT/ACT Instructor (Math& English),MILLION REASONS,Million Reasons is a non-profit organization started in 2016 to make a difference in the lives of children from low-socio economic...
Marketing/Public Relations/Fundraising for Pre-School Education,Community Day Nursery,"This opportunity provides an individual with a background in marketing, public relations, advertising, and/or grant writing to hone in on..."
King Manor Family Programs Volunteer,King Manor Museum,"To apply or for more info, please visit: http://kingmanor.org/support/volunteer.php & click on link for family programs & follow..."
Diabetes Resource Advocate,Diabetes Foundation,"The Diabetes Foundation assists children, teens and adults living with type 1, type 2, gestational and prediabetes to overcome the..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of music teachers in New York. With MusicLink, students (children under 18 years old) who show an interest in taking..."
Board Member,Up Rising Stars Inc,"Serious inquirels only!! Must have 4- 6 hours max a week to give a week, be committed to our mission, and effiticely communitate witht..."
Peer Support Needed: Family Members Raising Youth Involved in the Juvenile Justice System,"New Jersey Parents Caucus, Inc.","The New Jersey Parents Caucus is seeking parents, caregivers and family members raising children and youth who are involved in the..."
Administrive Support Needed From Parents/Family Members Raising Kids with Mental Health...,"New Jersey Parents Caucus, Inc.","The New Jersey Parents Caucus is seeking parents, caregivers and family members raising children with mental health challenges, including..."
Data Entry,"New Jersey Parents Caucus, Inc.",Taking information from an Excel Spread sheet and placing it into newly created Database. Attention to detail is imperative along....
Training Coordinator Needed for Professional Parent Advocacy Training,"New Jersey Parents Caucus, Inc.",NJPC is in need of someone who can coordinate trainings for parents and family members throughout the state raising children with...
NJPC Youth Justice Initiative: Legal Expertise Needed To Help Reform the Juvenile...,"New Jersey Parents Caucus, Inc.","NJPC is seeking a paralegal or pro bono attorney, and/or student of law to volunteer (Either in our office or virtual) to help us in..."
RESEARCHER / EVALUATOR NEEDED FOR MENTAL HEALTH & JUVENILE JUSTICE DATA ANALYSIS,"New Jersey Parents Caucus, Inc.",The New Jersey Parents Caucus is in need of a reasearcher/evaluator who is able to provide data analysis and help us provide a...
Administrative Assistant/Secretary,Bloomfield College,"Category: Clerical Bloomfield College is seeking an innovated, highly motivated and driven Administrative Assistant/Secretary. This..."
Spanish-speaking Volunteer Child Advocate,"CASA of Union County, Inc.",Are you interested in helping a child have a voice? In becoming a CASA volunteer you will become the voice for a child in a court...
Volunteer Advocate for Teens in Foster Care,"CASA of Union County, Inc.","Every year approximately 25,000 young people age of the foster care system with little or no adult support. Aging out of foster care..."
Volunteer Child Advocate,"CASA of Union County, Inc.",Are you interested in helping a child have a voice? In becoming a CASA volunteer you will become the voice for a child in a court...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an..."
Volunteer With a Therapeutic Horsemanship Program in the Bronx (Pelham Bay Park),GallopNYC,"GallopNYC uses therapeutic horsemanship to help riders walk, talk, connect, focus, behave and learn, inspiring each one to live life as..."
Lights On in Newark,Jersey Cares,Be a part of the Lights On program at West Side High School in Newark. This program keeps students engaged in activities so they are safe...
Therapy Gym Assistant,Children's Specialized Hospital,Assist therapists with variety of non-therapeutic duties. Acts as an opportunity for volunteers to observe actual therapy treatment...
Therapy Gym Assistant,Children's Specialized Hospital,Assist therapists with variety of non-therapeutic duties. Acts as an opportunity for volunteers to observe actual therapy treatment...
Social Media writers,HAIR WE SHARE INC,"Hair We Share is looking for qualified Social Media masters who are knowledgeable in the current platforms of Facebook, Instagram, Linked..."
Champions for Girls needed in Paterson,Girl Scouts of Northern New Jersey,We are looking for a few committed women to work together to serve 6 week programs of leadership and life skills building to small groups...
GWC: Girls Who Code facilitator in Summit,JerseySTEM,"JerseySTEM Girls Who Code Clubs are led by Facilitators, who are 18+ and can be computer scientists, parents, college students or..."
FIN: Bank Administrator,JerseySTEM,"Title: Bank Administrator Category: FIN Department/Group: Finance Travel Required: None Location: Local - Chatham, Summit, Livingston NJ..."
SIT: Student Recruitment and Services Director,JerseySTEM,JerseySTEM recruits middle school girls form underserved communities to attend free of charge afterschool STEM classes at Libraries &...
COA:Tinkerers and Makers helping kids,JerseySTEM,"JerseySTEM is an all volunteers grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap and the Gender..."
GRN: Grant Writer for STEM program,JerseySTEM,"JerseySTEM is an all volunteers grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap and the Gender..."
"SIT: Community Site Liaison, Kenilworth, NJ",JerseySTEM,"Title: SIT Community Site Liaison - Kenilworth, NJ Category: SIT Department/Group: Community Engagement Travel Required: No Location:..."
SIT: Community Site Liaison Cranford NJ,JerseySTEM,JerseySTEM Title: SIT Community Site Liaison - Cranford Category: SIT Department/Group: Community Engagement Travel Required: No...
GOO: Google Suite Analyst,JerseySTEM,JerseySTEM is a non profit involving 200 volunteers and 500 students. We use G suite as a platform and do require basic administration...
