title,org,desc
COA:Shop / Maker place organzier,JerseySTEM,"JerseySTEM organizes classes for middle schoolers to learn about electronics, robotics, crafts and making in general. The main location..."
COA: Computer Science Education Coordinator,JerseySTEM,"JerseySTEM is an all volunteers grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap and the Gender..."
COA:Simcity mentor,JerseySTEM,JerseySTEM organizes STEM programs for middle schoolers. One of those programs requires the use of Simcity. We are looking for a...
COA:3D printing/Additive Manufacturing program,JerseySTEM,"JerseySTEM is starting a 3D printing/Additive Manufacturing program to introduce middle schoolers to Design Engineering, CADD and 3D..."
FIN: CPA,JerseySTEM,Title: CPA Category: FIN Department/Group: Finance Travel Required: None Location: Virtual Background Check: No Will Train Applicant(s):...
FIN: Quickbooks,JerseySTEM,Title: Quickbooks Volunteer Category: FIN Department/Group: Finance Travel Required: None Location: Virtual Background Check: Yes Will...
FIN: Corporate Donations Manager for JerseySTEM,JerseySTEM,"JerseySTEM is a network of parents, professionals, students and educators whose goal is to promote excellence in Science, Technology,..."
COA: Minecraft Education Instructor,JerseySTEM,"JerseySTEM is an all volunteers grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap and the Gender..."
COA:Citizen Science Advocate,JerseySTEM,"JerseySTEM is an all volunteers grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap and the Gender..."
ACA: Deputy Academic Director,JerseySTEM,"Title: Deputy Academic Director Category: ACA Department/Group: Academic Travel Required: No Location: NJ local required, North Jersey..."
DEV: Deputy Grant Director,JerseySTEM,Title: Deputy Grant Director Category: DEV Department/Group: Development Travel Required: No Location: Virtual Background Check: no Will...
ACA: Academic Director,JerseySTEM,Title: Academic Director Category: ACA Department/Group: Academic Travel Required: No Location: NJ local required Expected length of...
DEV: Grant Director,JerseySTEM,Title: Grant Director Category: DEV Department/Group: Development Travel Required: No Location: Virtual Background Check: no Will Train...
DEV: VP of Corporate Engagement,JerseySTEM,Title: VP of Corporate Engagement Category: DEV: RES Department/Group: Corporate Engagement Travel Required: Yes Location: NJ local...
DEV: Deputy VP of Corporate Engagement,JerseySTEM,Title: Deputy VP of Corporate Engagement Category: DEV: RES Department/Group: Corporate Engagement Travel Required: Yes Location: NJ...
INS: Insurance Director,JerseySTEM,Title: Insurance (Property & Casualty) Director Category: INS Department/Group: Insurance Travel Required: No Location: Virtual...
Program Facilitator,EPITOME OF SOUL INC,"Epitome of Soul, Inc. is a non-profit organization focusing on arts education and cultural development. The Program Facilitator Volunteer..."
ADM:Administrative support for STEM program,JerseySTEM,"JerseySTEM is an all volunteers grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap and the Gender..."
MKT: Social Media Manager,JerseySTEM,"JerseySTEM is volunteer, grassroots non-profit agency dedicated to bridging the innovative, opportunity, and gender gaps in STEM..."
ADM:Legal Liaison,JerseySTEM,"JerseySTEM is an all volunteer, grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap, and the..."
GWC: Girls Who Code On -boarding coordinator,JerseySTEM,JerseysTEM is looking for an administrative manager of its Girls Who Code program to onboard the volunteers interested in coaching...
COA: Sewing,JerseySTEM,"Do you know knitting? Come and help elementary/middle school kids learn how to fabricate simple garments!!! (i.e., scarves) JerseySTEM is..."
Become a Caring and Crisis Hotline Listener,Caring Contact,"Are you looking for a flexible, rewarding volunteer opportunity ? Have you ever been told you are a good listener ? Do you have a..."
COA: Amateur/Ham Radio program,JerseySTEM,"JerseySTEM is an all volunteers grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap and the Gender..."
COA: Curriculum Developer,JerseySTEM,"JerseySTEM is an all volunteers grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap and the Gender..."
COA: Student Enrollment - Google Accounts/ Classroom/ Other apps,JerseySTEM,- Create Email account for students - Set up the routing for their email - create profiles in various application - sends the welcome...
SIT: Community Site Liaison Paterson NJ,JerseySTEM,Title: SIT Community Site Liaison - Morris County Category: SIT Department/Group: Community Engagement Travel Required: No Location:...
INS: Google Classroom expert,JerseySTEM,"JerseySTEM is an all volunteers grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap and the Gender..."
FIN: Matching Gift Program Manager,JerseySTEM,JerseySTEM organizes Science and Technology programs for students K-12 with focus to closing the gender gap and sharing with...
FIN: VP of Finance,JerseySTEM,Title: VP of Finance Category: FIN Department/Group: Finance Travel Required: No Location: Virtual Background Check: Yes Will Train...
Mentor Disadvantaged Youth,Catholic Charities,Catholic Charities Connections Program is actively recruiting volunteers to work as mentors with children ages 5-17. Mentors offer...
art lesson assistant for classes with special needs,Cerebral Palsy of North Jersey,We are looking for a very special volunteer to assist with the presentation of art lessons to primary and middle school students with...
Help families shop for nutritous holiday meals!,Episcopal Charities,"Help families in need prepare for the holidays in Yonkers at San Andres Church! Volunteers of all ages are welcome, and groups of any..."
COA: Education Technology Evaluator,JerseySTEM,"JerseySTEM is an all volunteers grassroots non-profit agency dedicated to bridging the Innovation Gap, the Opportunity Gap and the Gender..."
Be a Reading Buddy Volunteer!,United Way Passaic County,The United Way of Passaic County is actively working to improve educational outcomes for Passaic County students. Through the Reading...
CP Nassau's Festival of Trees,"Cerebral Palsy Association of Nassau County, Inc.","The FESTIVAL OF TREES invites YOU to VOLUNTEER! Please access our online sign up sheet to pick your volunteer date, time and position:..."
Make a difference in the life of a child at St Barnabas Medical Center,Hannah Peretsman Breene Foundation,"Adult volunteers needed to play with children who are hospitalized at St Barnabas Medical Center, weeknight evenings 6-8 pm. Seeking..."
SMART Mentor,JCY-Westchester Community Partners,"SMART ( Students and Mature Adults Read Together) is an intergenerational literacy program, that brings adult volunteers into local..."
Movie Buddies,JCY-Westchester Community Partners,Movie Buddies is designed to help immigrant students build their English language skills through watching films that are correlated to...
"Listener volunteer, Listen to Children",Jewish Family Service of MetroWest,"Older adult volunteers needed to participate in intergenerational program in Livingston, NJ school system--only. Volunteers are sought..."
fundraising event volunteers,HAIR WE SHARE INC,Hair We Share is looking for several volunteers to help with all aspects of creating fundraisers: 1) Pop Up Event planning including...
Girls' Drumline Instructor (NJ) Rahway Location,Friends of MJHS,The SoulDeevas' Performing Arts Company is searching for a Drumline Instructor to lead its first all-girls drumline! The program is not...
ballroom dance (no experience needed),Cerebral Palsy of North Jersey,Do you love to dance? Join our Hot Wheels ballroom dance team! Volunteers are needed to serve as dance partners to high school students...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in New York. With MusicLink, students (children under 18 years..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in New York. With MusicLink, students (children under 18 years..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in New York. With MusicLink, students (children under 18 years..."
"Community Representative/Counselor (VOLUNTEER) in White Plains, NY",EurAupair International Child Care Programs,"EurAupair is looking for a local representative to work with au pairs and host families in Yonkers, NY. EurAupair is one of the oldest..."
"Community Representative/Counselor (VOLUNTEER) in New Rochelle, NY",EurAupair International Child Care Programs,"EurAupair is looking for a local representative to work with au pairs and host families in New Rochelle, NY. EurAupair is one of the..."
"Community Representative/Counselor (VOLUNTEER) in Westchester County, NY",EurAupair International Child Care Programs,"EurAupair is looking for a local representative to work with au pairs and host families in Yonkers, NY. EurAupair is one of the oldest..."
"Community Representative/Counselor (VOLUNTEER) in YONKERS, NY",EurAupair International Child Care Programs,"EurAupair is looking for a local representative to work with au pairs and host families in Yonkers, NY. EurAupair is one of the oldest..."
Coordinator/Supervisor - High School Student Hospital program,Saint Barnabas Medical Center,"Are you an outgoing, positive, customer service oriented person looking for a fun volunteer assignment? We are looking for an adult (18+)..."
Your Voice is Powerful-Become an Advocate and Help a Child in Foster Care,CASA for Children of Passaic County,"Becoming a Court Appointed Special Advocate, or CASA, is a great way to help an abused or neglected child in foster care. CASAs are..."
Attend an Information Session-Help a Child in Foster Care,CASA for Children of Passaic County,Join us on December 7 th to learn how you can help an abused or neglected child in foster care in Passaic County. Court Appointed Special...
"Westfield, NJ: Autism Volunteer",ASD Climber Foundation,Welcome to the ASD Climber Foundation! ASD stands for Autism Spectrum Disorders. We are working with a family in your area with a child...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an interest in..."
Master Class Dance Instructor NJ,Friends of MJHS,We are looking for creative and committed individuals experienced in any genre of dance to conduct a Master Class for the SoulDeevas - a...
Coach - NJ Hip-Hop Majorette Dance Team (Grades K-5),Friends of MJHS,The SoulDeevas are looking for a committed choreographer to serve as coach for its Hip-Hop Majorette Dance team serving a small group of...
Board Member,"Enrichment Center for Women, Children and...","The Enrichment Center for Women, Children, and Families (ECWCF), a non-profit organization, is the corporate successor of the Young..."
Performing Arts Volunteer,"Enrichment Center for Women, Children and...","Assist with the creation and implementation of a creative and engaging performing arts program. Including dance, drama, and spoken word,..."
Children's Therapy Service,Trinitas Regional Medical Center,Trinitas Children's Therapy Services is looking for responsible individuals to volunteer at its Springfield-based outpatient pediatric...
Hospitality Crew,St Teresa of Avila Church,The Faith Formation program at St Teresa of Avila Parish hosts a variety of programs and outreach opportunities throughout the year for...
Tech Assistant,St Teresa of Avila Church,The Faith Formation program at St Teresa of Avila Parish hosts approximately 60-100 Middle Schoolers each Sunday evening at its weekly...
Teen Small Group Facilitator,St Teresa of Avila Church,"The Faith Formation program at St Teresa of Avila Parish hosts teen small groups, including its ALPHA program for high schoolers. The..."
Middle School Volunteer,St Teresa of Avila Church,The Faith Formation program at St Teresa of Avila Parish hosts approximately 60-100 Middle Schoolers each Sunday evening at its weekly...
Boys & Girls Club of Paterson & Passaic - Youth Program Assistant- (AMERICORPS) - Part...,St. Paul's Community Development Corporation,AmeriCorps members assigned at Full Service Community School 4 will assist with the supervision and coordination of after-school and...
Danforth Memorial Library - Program Assistant (AmeriCorps) - Full-Time,St. Paul's Community Development Corporation,"Site Name & Location: Paterson Free Public Library (Danforth Memorial Library) 250 Broadway Paterson, NJ 07501 About Paterson Free..."
"Community Representative/Counselor in Larchmont, NY",EurAupair International Child Care Programs,"EurAupair is looking for a local representative to work with au pairs and host families in Larchmont, NY. EurAupair is one of the oldest..."
"Community Representative/Counselor (VOLUNTEER) in Mt Vernon, NY",EurAupair International Child Care Programs,"EurAupair is looking for a local representative to work with au pairs and host families in Mount Vernon, NY EurAupair is one of the..."
"Community Representative/Counselor (VOLUNTEER) in Bronxville, NY",EurAupair International Child Care Programs,"EurAupair is looking for a local representative to work with au pairs and host families in Bronxville, NY EurAupair is one of the oldest..."
Bilingual English/Spanish volunteers needed!,CASA for Children of Passaic County,"In Passaic County, nearly half of the children in foster care identify as Hispanic. And yet, fewer than 9 percent of the volunteer..."
"Community Representative/Counselor in Westchester County, NY",EurAupair International Child Care Programs,"EurAupair is looking for a local representative to work with au pairs and host families in Westchester County, NY. EurAupair is one of..."
"Assistant Coaches - Center St School, Herricks",GIRLS ON THE RUN LONG ISLAND INC,Want to make a difference in the life of a girl? Girls on The Run Long Island is expanding across Long Island and we need your help. No...
Clerical Support for Busy YMCA HR Office,Metro YMCA of the Oranges,"Join Our HR Team at the Metro YMCA! If you enjoy clerical work and want to use your skills to help your community, you may be a great fit..."
Do you want to join a Board of Trustees of a highly successful NJ non-profit organization,Student/Partner Alliance,"We are looking for a few new Board members who believe in our Mission of assisting low-income, urban high school students with..."
Do you want to help an urban student - Be a Mentor - Make a life-long difference!,Student/Partner Alliance,We are looking for mentors to coach motivated urban high school students from urban NJ. Mentored youth have significantly better chances...
Do you want to help an urban student - Be a Mentor - Make a life-long difference!,Student/Partner Alliance,We are looking for mentors to coach motivated urban high school students from Newark and Jersey City. Mentored youth have significantly...
Become a FAF$A Finish Line Volunteer!,United Way Passaic County,Paterson's FAF$A Finish Line Challenge's goal is to increase the number of first generation students who enroll in in post secondary...
Fall 2019 Marketing/Communications Internship at child advocacy organization,CASA for Children of Passaic County,The Marketing/Communications Intern will assist with developing and managing both external and internal communications for Passaic County...
Enjoy teaching children?,American Red Cross - New Jersey Region,"Learn how to present the hour long Pillowcase Project, a national youth preparedness program, to grades 3-5 during the school day or at..."
Coaches/Assistant Coaches needed in Garden City Park/New Hyde Park,GIRLS ON THE RUN LONG ISLAND INC,Girls on The Run Long Island is expanding across Long Island and we need your help. No running experience needed! Head Coaches meet two...
Clothing Manager,JCC of the Greater Five Towns/The Gural JCC,"The S.H.O.P., a social services hub that provides nutritional support, basic necessities, guidance and encouragement to local individuals..."
"Community Representative/Counselor in Yonkers, NY",EurAupair International Child Care Programs,"EurAupair is looking for a local representative to work with au pairs and host families in Yonkers, NY. EurAupair is one of the oldest..."
Join The Viscardi Center Mentoring Initiative,THE VISCARDI CENTER INC,The Viscardi Center Mentoring Initiative (VCMI) is a new mentorship program for at-risk youth with disabilities. The goal of the...
Make a Difference. Inspire a Life. Become a Mentor!,THE VISCARDI CENTER INC,"The Viscardi Center’s new Mentoring Initiative program is designed for students, ages 11-17 with a disability or those considered..."
Wanted: College Students as Volunteer Mentors for Youth with Disabilities,THE VISCARDI CENTER INC,"If you’re looking to make a lasting impact on a deserving youth, consider becoming a Viscardi Mentor today! By creating a..."
Reading Buddies After School,JCY-Westchester Community Partners,Have you ever wanted to help a young child with their homework and be a mentor? Look no further. Become a mentor and help elementary aged...
Intro2America Mentor,JCY-Westchester Community Partners,Become an Intro2America volunteer mentor and help high school students who are new to America adapt to their new culture and language. If...
Unpaid Juvenile Conference Commitee Volunteer,Superior Court of New Jersey - Passaic Vicinage,The Juvenile Conference Committee (JCC) is seeking committed volunteers to serve on it's Manchester board. The Manchester JCC is...
Help Children with Physical Disabilities Rock Climb!,"Peak Potential, Inc",Peak Potential is an amazing organization that enables children with physical disabilities rock climb. You help and watch these children...
Volunteer as a group at New Eyes for the Needy!,New Eyes for the Needy,New Eyes for the Needy seeks to empower children and adults in the United States and overseas with the improved vision they need to...
Evening Rec,Children's Specialized Hospital,Volunteers will provide assistance and supervision for individuals with disabilities (ages 6-21) during social and recreational...
CSH Friends,Children's Specialized Hospital,"Join Children’s Specialized Hospital Friends! Founded in 1909, the purpose of the Children’s Specialized Hospital Friends is..."
Youth Program Assistant,"NEW DESTINY FAMILY SUCCESS CENTERS, INC","To assist with planning, supervision and coordination of youth programs and school activities and events at the Senator Frank Lautenberg..."
Workshop Facilitator,"NEW DESTINY FAMILY SUCCESS CENTERS, INC","We offer workshops on a variety of topics. We are looking for volunteers to fulfill positions as facilitators for basic computer skills,..."
Graphic Designer,"NEW DESTINY FAMILY SUCCESS CENTERS, INC","Design posters, brochures, flyers and other materials for New Destiny FSC. Also, update our social media accounts and website."
Patient Pal,Children's Specialized Hospital,Primary role is to provide socialization opportunities as well as assist patient with set-up and execution of day’s homework. If no...
Teen Night,Children's Specialized Hospital,Volunteers will provide assistance and supervision for individuals with disabilities (ages 13-21) during social and recreational...
Martial Arts Program Volunteer,Children's Specialized Hospital,Provide one to one supervision of assigned child ( ages 4-13) during class to ensure safety; keep participants focused on task through...
Office/Clerical Assistance,Children's Specialized Hospital,"To provide Departments with assorted administrative tasks including but not limited to copying, scanning, filing, labeling and stuffing..."
Office/Clerical Assistance,Children's Specialized Hospital,"To provide staff assistance with assorted clerical tasks including but not limited to the answering of phones, xeroxing, filing,..."
Swim Volunteers Needed,Children's Specialized Hospital,To offer 1:1 assistance to boys and girls ages 3-10 years old who are participating in an adapted swim program. Having 1:1 volunteers...
Volunteer - Direct Services to girls (work with girls),Girl Scouts of Northern New Jersey,"Change a life, it's forever! Become a Girl Scouts volunteer and use your expertise, skills, interest and life experience as a coach,..."
enCourage Kids Holiday Party in New Jersey for Children with Serious and Chronic...,EnCourage Kids Foundation,"Holiday celebrations are memorable moments in a child’s life. However, the financial hardships surrounding the care of an ill child..."
Become a Host Family for an Exchange Student!,AnB Education,"Do you want to make a difference in a young person's life while you learn about another culture, create and build friendships and make..."
Adult Mentor,Catholic Charities,Catholic Charities Connections Program is actively recruiting volunteers to work as mentors with children ages 5-17. Mentors offer...
Workshop Leaders Needed,Catholic Charities,The Mobile Family Success Center of Middlesex County provides FREE educational and fun activities to the community. We serve all of...
Intern,Women and Families Ascending Association (WAFAA),"Our mission is to help out the community overcome issues such as: poverty, unemployment, hunger, sexual abuse, domestic violence, and..."
Community Advocacy - Internship,Women and Families Ascending Association (WAFAA),The Arab American Civic Organization provides critical resources to serve the diverse needs our community. Our services address issues...
Volunteer drivers,Emmanuel Cancer Foundation,The Emmanuel Cancer Foundation provides over 200 New Jersey families faced with pediatric cancer a place to turn for comfort and support...
Editor Internship,The Borgen Project,"The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Editors edit..."
Office Help,Emmanuel Cancer Foundation,Looking for volunteers to work in the office 3 hour shifts. Monday morning 10-1pm and Tuesday afternoon 1-4pm. Light clerical work -...
Education team seeking administrative assistant who loves to type!,Junior Achievement of New Jersey,JANJ is looking for an eager volunteer to perform administrative duties to assist our staff in our Edison office. Responsibilities...
Do you like to type? Data Entry help needed for local education nonprofit,Junior Achievement of New Jersey,Junior Achievement of New Jersey is a non-profit looking for positive-minded adult volunteers of all ages to help with a data-entry...
Vibha NJ - where volunteering is fun,Vibha,"Educate, Enable and Empower. If any of these 3 words resonates in your head, Vibha is the organization to volunteer your time. Looking..."
