title,org,desc
"Drive a leg - Save a life! - Yonkers, NY",Pilots to the Rescue,"Simply by using your vehicle you can save animals - Volunteer your time to transport animals along what is called a ""Rescue Relay..."
Do you work for the airlines? Then you can help save animals! - Yonkers,Pilots to the Rescue,"Do you work for the airlines? Then you can help save animals! If you have flight privileges with an airline, current employee or retired,..."
"Are you a pilot?  Then you can save animals! - Yonkers, NY",Flying Dog Rescue,We need pilots to help coordinate animal rescue transport flights for other pilots that are transporting animals. So whether you are a...
"Let me crash on your couch... please? - Yonkers, NY",ARFS GERMAN SHEPHERD INC,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation.Shelters do not...
"Punch holes in the sky & save animals! - Pilots Wanted! - Yonkers, NY",Pilots to the Rescue,"Pilots to the Rescue is seeking active and inactive pilots to help save animals. Even if you lost your medical, are not able to be PIC,..."
"VITAS Paw Pals Volunteers-Mt. Arlington, Montville and Wayne",VITAS Healthcare of NJN,Does your pet enjoy people? Would you like to bring joy to others in a fun and simple way? VITAS invites you and your pet to become Paw...
Assist Hospice Patients in an Inpatient Setting,VITAS Healthcare of NJN,VITAS Volunteers give their time to terminally ill patients and their families in a hospital type setting. Volunteers are needed to visit...
Love Cats - Small Feral Cat Colonies Need Feeder Saturdays,Mobilization for Animal Rights,Three small colonies of feral cats need a feeder every other Saturday. The only requirement is to be a cat lover and dependable. I will...
Hot Coco Run & Dog Walk,Compassionate Care ALS- Hot Cocoa Run & Dog Walk,This is a 5k & 10K run and 1 mile dog walk. I need intersection volunteers ( 17+ age) I need peopel to help race day check in and...
Volunteers,"Angel P.A.W.S., Inc.","Volunteers needed to help out at our Colonia Pet Adoption Center. Must be cat-friendly. A few hours once a week, cleaning cages,..."
Volunteers and their pets needed for hospice patients,Homeside Hospice,"Homeside Hospice is looking for volunteers to provide animal assisted activities in nursing homes in Bergen, Essex, Hudson, Mercer,..."
"Cat Adoption Center Volunteer-Emerson, NJ",Felines For Adoption Cat Rescue,The adoption center volunteer has the flexibility to visit our adorable adoptable kitten and cats held at our adoption center(s) located...
"Drive a leg, Save a life! - Yonkers, NY",HEARTS ALIVE VILLAGE,"Simply by using your vehicle, you can save animals - Yonkers - Volunteer your time to transport animals along what is called a..."
"Let me crash on your couch...please? - Yonkers, NY",LAURAS HOPE RESCUE,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation. Shelters do...
Have your therapy dog visit our patients!,Long Island Jewish Medical Center,Long Island Jewish Medical Center and our Imbert Cancer Center in Bay Shore is looking for volunteers who have a TDI certified dog to...
Pet Therapy (Perth Amboy),Raritan Bay Medical Center,To provide patients the opportunity to interact with trained and certified dogs during their hospitalization to improve thieir emotional...
JUNIOR VOLUNTEERS:  In person & Virtual Positions,Ruff House Rescue,Just because you are young doesn't mean you can't be a BIG contributor to our rescue! COMMUNITY HOURS: Letters are only provided for some...
Serenity Hospice Is Looking For Caring People To Volunteer With Our Patients!,Serenity Hospice Care,"Do you want to make a difference in the life of a terminally ill patient? Our patients are located all over NJ, in various facilities and..."
Pet Therapist Volunteer for Hospice Patients,Embracing HospiceCare- Middlesex County,If you have a dog that has gone through a pet therapy program and is a certified pet therapy dog we would love to have you both as a part...
Petco Adoption Events,Ruff House Rescue,"Being a volunteer at Ruff House Rescue is rewarding and simple, and we wouldn't be able to do rescue without the help and support of..."
